,Unnamed: 0.1,Unnamed: 0,platformId,date,type,title,expandedLink,domain,domain2
274926,274926,274926,765097033535684_5323596771018998,2022-02-23 20:20:22,photo,,https://www.facebook.com/novaukraine.org/photos/a.765106103534777/5323591744352834/?type=3,www.facebook.com,facebook
345487,345487,345487,100053347550323_471286244659623,2022-02-24 06:00:34,link,Nova Ukraine,http://novaukraine.org/donate/,novaukraine.org,novaukraine
583093,583093,583093,1255996617785562_5100764396642079,2022-02-24 14:38:45,photo,,https://novaukraine.org/,novaukraine.org,novaukraine
810000,810000,810000,10159898194112959,2022-02-24 22:08:26,link,Nova Ukraine,https://novaukraine.org/,novaukraine.org,novaukraine
918926,918926,918926,100050162033753_509284174086979,2022-02-25 04:41:12,photo,,http://novaukraine.org/donate/,novaukraine.org,novaukraine
1095445,1095445,1095445,64725850045_10166239901800046,2022-02-25 12:12:07,photo,,http://novaukraine.org/teach-for-ukraine/,novaukraine.org,novaukraine
1139966,1139966,1139966,100064053789536_322531256558665,2022-02-25 13:37:43,link,This is a re-share of a post,https://novaukraine.org/,novaukraine.org,novaukraine
1311497,1311497,1311497,128711113811422_5609670982382047,2022-02-25 19:08:51,photo,,https://novaukraine.org/,novaukraine.org,novaukraine
1328705,1328705,1328705,241424002748_10158932662327749,2022-02-25 19:42:02,native_video,,https://novaukraine.org/,novaukraine.org,novaukraine
1330139,1330139,1330139,514988625197477_5561821990514090,2022-02-25 19:44:47,native_video,,https://novaukraine.org/,novaukraine.org,novaukraine
1331807,1331807,1331807,2478606639046837_3299099753664184,2022-02-25 19:47:47,native_video,,https://novaukraine.org/,novaukraine.org,novaukraine
1333568,1333568,1333568,1102593673504293_1412679525829038,2022-02-25 19:51:23,native_video,,https://novaukraine.org/,novaukraine.org,novaukraine
1353429,1353429,1353429,100058242330565_385665440051531,2022-02-25 20:31:21,youtube,Vance’sMondayAcousticPajamaParty #100 ALL REQUEST,https://novaukraine.org/,novaukraine.org,novaukraine
1359734,1359734,1359734,2781678345991854053_1991646295,2022-02-25 20:45:21,photo,,https://novaukraine.org/,novaukraine.org,novaukraine
1431065,1431065,1431065,371624156311514_2189377351202843,2022-02-25 23:56:16,native_video,,https://novaukraine.org/,novaukraine.org,novaukraine
1477026,1477026,1477026,199885290083289_7053213394750410,2022-02-26 20:41:33,photo,,https://www.facebook.com/novaukraine.org/,www.facebook.com,facebook
1576428,1576428,1576428,50113404491_10158746842319492,2022-02-27 07:51:34,link,Nova Ukraine,https://novaukraine.org/,novaukraine.org,novaukraine
1683094,1683094,1683094,477958068901031_5587843234579130,2022-02-27 12:07:30,youtube,WAR IN UKRAINE | IRREGULAR LATVIAN,https://novaukraine.org/,novaukraine.org,novaukraine
1784721,1784721,1784721,148842095501122_1607401696311814,2022-02-27 16:00:06,native_video,,https://novaukraine.org/,novaukraine.org,novaukraine
1852947,1852947,1852947,580047905499789_1994875197350379,2022-02-27 19:23:51,native_video,,https://novaukraine.org/?fbclid=IwAR10a46Ingk3o4h5080OqVW3r8ZGA0E407Mu6VINKP5qrivzkTfFowaWp2Q,novaukraine.org,novaukraine
2045204,2045204,2045204,812167968840793_5111519782238902,2022-02-28 10:05:11,link,Razom,https://novaukraine.org/,novaukraine.org,novaukraine
2047639,2047639,2047639,2783534959715238538_36364492162,2022-02-28 10:14:06,album,,https://novaukraine.org/donate/,novaukraine.org,novaukraine
2107617,2107617,2107617,100058242330565_387582079859867,2022-02-28 14:33:28,photo,,https://novaukraine.org/,novaukraine.org,novaukraine
2117653,2117653,2117653,2783679732355483376_2943796299,2022-02-28 15:01:44,album,,https://novaukraine.org/...,novaukraine.org,novaukraine
2140652,2140652,2140652,29952518646_10162972533568647,2022-02-28 16:05:11,photo,,http://novaukraine.org/donate/,novaukraine.org,novaukraine
2252924,2252924,2252924,765097033535684_5338556326189709,2022-02-28 23:10:47,photo,,https://www.facebook.com/novaukraine.org/photos/a.799896003389120/5338556276189714/?type=3,www.facebook.com,facebook
2431482,2431482,2431482,1556331401095377_5014476348614181,2022-03-01 15:35:57,link,Nova Ukraine,https://novaukraine.org/,novaukraine.org,novaukraine
2437164,2437164,2437164,440061000321230_697707734556554,2022-03-01 15:53:06,native_video,,https://novaukraine.org/?fbclid=IwAR10a46Ingk3o4h5080OqVW3r8ZGA0E407Mu6VINKP5qrivzkTfFowaWp2Q,novaukraine.org,novaukraine
2438369,2438369,2438369,513772092078949_4663523093770474,2022-03-01 15:56:32,photo,,https://www.facebook.com/novaukraine.org/photos/a.799896003389120/5338556276189714/?type=3,www.facebook.com,facebook
