,Unnamed: 0.1,Unnamed: 0,platformId,date,type,title,expandedLink,domain,domain2
1302237,1302237,1302237,13885075114_10159788520345115,2022-02-25 18:53:09,photo,,https://www.actionagainsthunger.org/story/action-against-hunger-statement-crisis-ukraine,www.actionagainsthunger.org,actionagainsthunger
2793531,2793531,2793531,13885075114_10159797594385115,2022-03-02 14:07:18,photo,,https://www.actionagainsthunger.org/story/action-against-hunger-statement-crisis-ukraine,www.actionagainsthunger.org,actionagainsthunger
2894532,2894532,2894532,13885075114_10159797959265115,2022-03-02 18:20:31,native_video,,https://www.actionagainsthunger.org/story/action-against-hunger-statement-crisis-ukraine,www.actionagainsthunger.org,actionagainsthunger
3280001,3280001,3280001,100064518261534_327892552704684,2022-03-03 17:50:21,native_video,,https://www.actionagainsthunger.org.uk/dec-ukraine-humanitarian-appeal,www.actionagainsthunger.org.uk,actionagainsthunger
3604129,3604129,3604129,118201141554097_7285150534859086,2022-03-04 15:49:01,photo,,https://www.actionagainsthunger.org.uk/ukraine-appeal,www.actionagainsthunger.org.uk,actionagainsthunger
3923409,3923409,3923409,2788098806870901641_351004462,2022-03-06 17:21:39,photo,,https://www.actionagainsthunger.org/story/afghanistan-voices-mothers,www.actionagainsthunger.org,actionagainsthunger
4136955,4136955,4136955,127162730732519_4860545697394175,2022-03-07 16:49:53,photo,,https://www.actionagainsthunger.org.uk/ukraine-appeal,www.actionagainsthunger.org.uk,actionagainsthunger
4190479,4190479,4190479,13885075114_10159807063990115,2022-03-07 21:05:32,photo,,https://www.actionagainsthunger.org/story/action-against-hunger-statement-crisis-ukraine,www.actionagainsthunger.org,actionagainsthunger
4210359,4210359,4210359,13885075114_10159807256505115,2022-03-07 23:30:08,photo,,https://www.actionagainsthunger.org/story/action-against-hunger-statement-crisis-ukraine,www.actionagainsthunger.org,actionagainsthunger
4409522,4409522,4409522,13885075114_10159808437110115,2022-03-08 16:30:05,photo,,https://www.actionagainsthunger.org/story/action-against-hunger-statement-crisis-ukraine,www.actionagainsthunger.org,actionagainsthunger
4829007,4829007,4829007,430437667114773_2088340974657759,2022-03-10 09:17:31,photo,,https://www.actionagainsthunger.org.uk/dec-ukraine-humanitarian-appeal,www.actionagainsthunger.org.uk,actionagainsthunger
4832430,4832430,4832430,430437667114773_2088347071323816,2022-03-10 09:30:50,photo,,https://www.actionagainsthunger.org.uk/dec-ukraine-humanitarian-appeal),www.actionagainsthunger.org.uk,actionagainsthunger
4835355,4835355,4835355,100064518261534_332021752291764,2022-03-10 09:42:26,native_video,,https://www.actionagainsthunger.org.uk/dec-ukraine-humanitarian-appeal,www.actionagainsthunger.org.uk,actionagainsthunger
4954274,4954274,4954274,13885075114_10159811920230115,2022-03-10 16:33:01,native_video,,https://www.actionagainsthunger.org/story/action-against-hunger-statement-crisis-ukraine,www.actionagainsthunger.org,actionagainsthunger
5127198,5127198,5127198,357060884327297_5414608008572534,2022-03-11 09:27:58,photo,,https://www.actionagainsthunger.org.uk/dec-ukraine-humanitarian-appeal,www.actionagainsthunger.org.uk,actionagainsthunger
5283134,5283134,5283134,234823553368485_2012252558958900,2022-03-11 19:58:13,photo,,https://www.actionagainsthunger.org.uk/dec-ukraine-humanitarian-appeal,www.actionagainsthunger.org.uk,actionagainsthunger
5620241,5620241,5620241,100064518261534_334503685376904,2022-03-14 10:04:15,native_video,,https://www.actionagainsthunger.org.uk/dec-ukraine-humanitarian-appeal,www.actionagainsthunger.org.uk,actionagainsthunger
5657049,5657049,5657049,13885075114_10159818342170115,2022-03-14 13:02:38,native_video,,https://www.actionagainsthunger.org/story/action-against-hunger-statement-crisis-ukraine,www.actionagainsthunger.org,actionagainsthunger
8359690,8359690,8359690,821836248712588_1011853849710826,2022-03-29 17:18:11,link,Ask your MP to protect civilians in Ukraine and on the move,https://campaigns.actionagainsthunger.org.uk/page/100738/action/1?locale=en-GB&en_chan=fb&en_ref=190921720,campaigns.actionagainsthunger.org.uk,actionagainsthunger
8359742,8359742,8359742,165239440652720_1342965556213430,2022-03-29 17:18:32,link,Ask your MP to protect civilians in Ukraine and on the move,https://campaigns.actionagainsthunger.org.uk/page/100738/action/1?locale=en-GB&en_chan=fb&en_ref=190921720,campaigns.actionagainsthunger.org.uk,actionagainsthunger
8368256,8368256,8368256,117682741579663_5700652243282657,2022-03-29 18:07:28,link,Ask your MP to protect civilians in Ukraine and on the move,https://campaigns.actionagainsthunger.org.uk/page/100738/action/1?locale=en-GB&en_chan=fb&en_ref=190921720,campaigns.actionagainsthunger.org.uk,actionagainsthunger
10754681,10754681,10754681,13885075114_10159879201010115,2022-04-18 17:33:43,native_video,,https://www.actionagainsthunger.org/story/35-million-people-threatened-hunger-crisis-sahel,www.actionagainsthunger.org,actionagainsthunger
10988835,10988835,10988835,13885075114_10159879225485115,2022-04-20 17:00:06,native_video,,https://www.actionagainsthunger.org/story/35-million-people-threatened-hunger-crisis-sahel,www.actionagainsthunger.org,actionagainsthunger
11071348,11071348,11071348,13885075114_10159879235400115,2022-04-21 16:59:01,native_video,,https://www.actionagainsthunger.org/story/35-million-people-threatened-hunger-crisis-sahel,www.actionagainsthunger.org,actionagainsthunger
