,Unnamed: 0.1,Unnamed: 0,platformId,date,type,title,expandedLink,domain,domain2
1271959,1271959,1271959,100058049109809_368489585096009,2022-02-25 18:00:11,link,Ukraine,https://www.doctorswithoutborders.org/what-we-do/countries/ukraine,www.doctorswithoutborders.org,doctorswithoutborders
1350680,1350680,1350680,33110852384_10158478209672385,2022-02-25 20:26:12,photo,,https://www.doctorswithoutborders.org/what-we-do/news-stories/news/msf-statement-situation-ukraine,www.doctorswithoutborders.org,doctorswithoutborders
1360232,1360232,1360232,100063664884949_355441243254702,2022-02-25 20:46:30,link,Ukraine,https://www.doctorswithoutborders.org/what-we-do/countries/ukraine,www.doctorswithoutborders.org,doctorswithoutborders
1369066,1369066,1369066,173203522713279_5313242018709378,2022-02-25 21:05:47,status,,https://www.doctorswithoutborders.org/what-we-do/countries/ukraine,www.doctorswithoutborders.org,doctorswithoutborders
1409970,1409970,1409970,417287795104806_2198946606938907,2022-02-25 22:47:46,photo,,https://www.doctorswithoutborders.org/what-we-do/news-stories/news/msf-statement-situation-ukraine,www.doctorswithoutborders.org,doctorswithoutborders
1410079,1410079,1410079,170918366440125_1819760718222540,2022-02-25 22:48:08,photo,,https://www.doctorswithoutborders.org/what-we-do/news-stories/news/msf-statement-situation-ukraine,www.doctorswithoutborders.org,doctorswithoutborders
1410341,1410341,1410341,6903956721_10158449544311722,2022-02-25 22:48:56,photo,,https://www.doctorswithoutborders.org/what-we-do/news-stories/news/msf-statement-situation-ukraine,www.doctorswithoutborders.org,doctorswithoutborders
1410390,1410390,1410390,2212038694_10159756870813695,2022-02-25 22:49:05,photo,,https://www.doctorswithoutborders.org/what-we-do/news-stories/news/msf-statement-situation-ukraine,www.doctorswithoutborders.org,doctorswithoutborders
1418964,1418964,1418964,217551411705446_4706281909499018,2022-02-25 23:14:40,photo,,https://www.doctorswithoutborders.org/what-we-do/news-stories/news/msf-statement-situation-ukraine,www.doctorswithoutborders.org,doctorswithoutborders
1470351,1470351,1470351,792672987768502_1568211006881359,2022-02-26 16:37:51,link,Preparing to Meet the Needs of People in Ukraine,https://www.doctorswithoutborders.org/what-we-do/news-stories/news/msf-statement-situation-ukraine?ms=ADD2202U2U25&utm_source=facebook-instagram&utm_medium=paid-social&utm_campaign=PROS.FIELDUPDATESUKRAINERR_CKMSF-PROS.FIELDUPDATESUKRAINERR-FBIG-NF-ALL-NATIONAL-BO-25t65P-Image-UKRAINERR.V1.LNG.A-Purchase,www.doctorswithoutborders.org,doctorswithoutborders
1485854,1485854,1485854,1749814981940531_3235944199994261,2022-02-26 23:43:53,link,MSF statement on the situation in Ukraine,https://www.doctorswithoutborders.org/what-we-do/news-stories/news/msf-statement-situation-ukraine?ms=ADD2202U2U52&utm_source=facebook-instagram&utm_medium=paid-social&utm_campaign=HF.FIELDUPDATESUKRAINERR_CKMSF-HF.FIELDUPDATESUKRAINERR-FBIG-NF-ALL-MONDONHF-BO-18t65P-Image-UKRAINERR.V1.LNG.A-Purchase,www.doctorswithoutborders.org,doctorswithoutborders
1486051,1486051,1486051,382342355303092_1758581491012498,2022-02-26 23:48:15,link,Help save lives. Donate now.,https://donate.doctorswithoutborders.org/,donate.doctorswithoutborders.org,doctorswithoutborders
1708403,1708403,1708403,107859820817329_475380070731967,2022-02-27 13:00:09,photo,,https://www.doctorswithoutborders.org/what-we-do/countries/ukraine.,www.doctorswithoutborders.org,doctorswithoutborders
1923866,1923866,1923866,198387520618766_1441157693008403,2022-02-27 23:44:52,link,Ukraine,https://www.doctorswithoutborders.org/what-we-do/countries/ukraine,www.doctorswithoutborders.org,doctorswithoutborders
1925592,1925592,1925592,1411739439126799_2807547392879323,2022-02-27 23:52:03,link,This is a re-share of a post,https://www.doctorswithoutborders.org/what-we-do/countries/ukraine,www.doctorswithoutborders.org,doctorswithoutborders
2136681,2136681,2136681,103549108228264_451437783439393,2022-02-28 15:56:00,photo,,https://www.doctorswithoutborders.org/what-we-do/countries/ukraine,www.doctorswithoutborders.org,doctorswithoutborders
2147834,2147834,2147834,2340803632612667_5636745056351825,2022-02-28 16:24:53,photo,,https://www.doctorswithoutborders.org/what-we-do/countries/ukraine,www.doctorswithoutborders.org,doctorswithoutborders
