,Unnamed: 0.1,Unnamed: 0,platformId,date,type,title,expandedLink,domain,domain2
2048530,2048530,2048530,167524363294017_5139842362728834,2022-02-28 10:17:02,photo,,https://www.airbnb.org/get-involved.”,www.airbnb.org,airbnb
2048793,2048793,2048793,2783536843198940418_5456026760,2022-02-28 10:17:51,photo,,airbnb.org/get-involved,,airbnb
2140493,2140493,2140493,112274810186136_710422567038021,2022-02-28 16:04:53,link,Airbnb.org,https://www.airbnb.org/,www.airbnb.org,airbnb
2140607,2140607,2140607,557088918140769_1345022352680751,2022-02-28 16:05:06,link,Airbnb.org,https://airbnb.org/,airbnb.org,airbnb
2481057,2481057,2481057,782707065615014_1063321250886926,2022-03-01 17:56:32,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
2481065,2481065,2481065,1196823320345250_5689347711092766,2022-03-01 17:56:34,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
2481313,2481313,2481313,1521362848187170_3165967633726675,2022-03-01 17:57:27,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
2481406,2481406,2481406,436324453393949_1605828283110221,2022-03-01 17:57:43,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
2481498,2481498,2481498,146791912033725_5045697825476418,2022-03-01 17:57:58,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
2481713,2481713,2481713,174028399278967_5731686020179816,2022-03-01 17:58:46,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
2481818,2481818,2481818,596125920484245_4865065780256883,2022-03-01 17:59:10,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
2497514,2497514,2497514,810056976144959_1294331171050868,2022-03-01 18:45:50,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
2593191,2593191,2593191,2445149202283866_2463526820446104,2022-03-02 01:25:37,link,This is a re-share of a post,airbnb.org/help-ukraine,,airbnb
2651636,2651636,2651636,671740507312128_674154190404093,2022-03-02 06:45:07,link,"Airbnb.org – nimm Menschen auf, die aus der Ukraine fliehen",https://de.airbnb.org/help-ukraine,de.airbnb.org,airbnb
2764623,2764623,2764623,1541272592918921_1542078109505036,2022-03-02 12:13:12,link,Airbnb.org - Host people fleeing Ukraine,https://et.airbnb.org/help-ukraine?_ga=2.112888260.1185732878.1646207207-1364155905.1646207207&_set_bev_on_new_domain=1645825323_NDhiODAyMDQwODE2&fbclid=IwAR0WTMuqXcwxtLyAx0iECDIVyDVXNCit_vi4Y5IOBd2VbPnOjhANWnXGYxI,et.airbnb.org,airbnb
2845867,2845867,2845867,146129816119710_1073244576741558,2022-03-02 16:18:58,link,Airbnb.org - Get Involved,https://www.airbnb.org/get-involved,www.airbnb.org,airbnb
2888987,2888987,2888987,235403849928668_2454215328047498,2022-03-02 18:08:35,link,"Airbnb.org: разместите людей, покидающих Украину",https://ru.airbnb.org/help-ukraine?_set_bev_on_new_domain=1646244347_OWQyZWJmZmQ1NjAy,ru.airbnb.org,airbnb
2901089,2901089,2901089,2329712730602648_3103145689926011,2022-03-02 18:55:08,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine?fbclid=IwAR3913ZR9ROBvx7NC953dNuzTBzivnhjN-0kgiikn9MApqfzN-eD1m11oS0,www.airbnb.org,airbnb
3027401,3027401,3027401,1471024946562844_1718919918440011,2022-03-03 06:07:43,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine?_set_bev_on_new_domain=1646287548_NGRlYzMyN2E1MDUy&locale=en&_ga=2.112621068.921012936.1646287556-1034469026.1646287555,www.airbnb.org,airbnb
3027451,3027451,3027451,1451538791861943_1694807307535089,2022-03-03 06:07:55,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine?_set_bev_on_new_domain=1646287548_NGRlYzMyN2E1MDUy&locale=en&_ga=2.112621068.921012936.1646287556-1034469026.1646287555,www.airbnb.org,airbnb
3027790,3027790,3027790,533707460045298_4881013021981365,2022-03-03 06:09:11,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
3088376,3088376,3088376,179819235812607_1367039263757259,2022-03-03 09:09:15,link,Airbnb.org,https://www.airbnb.org/,www.airbnb.org,airbnb
3122357,3122357,3122357,637870963876688_695484921448625,2022-03-03 10:35:31,status,,https://www.airbnb.org,www.airbnb.org,airbnb
3142706,3142706,3142706,819842915345141_908531619809603,2022-03-03 11:24:35,link,Airbnb.org - Host people fleeing Ukraine,https://airbnb.org/help-ukraine,airbnb.org,airbnb
3177186,3177186,3177186,412711908798528_4779827228753619,2022-03-03 12:45:02,photo,,https://de.airbnb.org/help-ukraine,de.airbnb.org,airbnb
3185728,3185728,3185728,683933382149146_1121970355012111,2022-03-03 13:03:29,link,Airbnb.org,https://airbnb.org/,airbnb.org,airbnb
3228089,3228089,3228089,1496221847359775_3110952009220076,2022-03-03 15:00:01,photo,,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
3251112,3251112,3251112,843603832379894_6995636083843274,2022-03-03 16:28:40,link,Airbnb.org,https://airbnb.org/,airbnb.org,airbnb
3259465,3259465,3259465,100068983517378_267590342217081,2022-03-03 17:04:38,link,"Airbnb.org – nimm Menschen auf, die aus der Ukraine fliehen",https://de.airbnb.org/help-ukraine,de.airbnb.org,airbnb
3316820,3316820,3316820,16968296511_10158575242161512,2022-03-03 20:26:01,link,Airbnb.org - Host people fleeing Ukraine,https://airbnb.org/help-ukraine,airbnb.org,airbnb
3344834,3344834,3344834,2786059831469877236_2169443,2022-03-03 21:50:34,photo,,Airbnb.org/help-Ukraine,,Airbnb
3356686,3356686,3356686,271332746236263_4979719265397564,2022-03-03 22:34:57,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
3438238,3438238,3438238,453769765190743_1098700290697684,2022-03-04 06:53:04,link,"Airbnb.org: разместите людей, покидающих Украину",https://ru.airbnb.org/help-ukraine?_set_bev_on_new_domain=1646372811_ZjBiZTRiNzIzNTc1,ru.airbnb.org,airbnb
3471761,3471761,3471761,249718191862074_2063862417114300,2022-03-04 08:54:53,link,Airbnb.org - Host people fleeing Ukraine,http://airbnb.org/help-ukraine,airbnb.org,airbnb
3484729,3484729,3484729,781612672261780_1402492220173819,2022-03-04 09:27:51,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
3491417,3491417,3491417,677156076746841_691647745297674,2022-03-04 10:09:09,photo,,airbnb.org/help-ukraine,,airbnb
3504800,3504800,3504800,100028099015782_815888892691070,2022-03-04 11:06:17,photo,,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
3512148,3512148,3512148,178901385458075_5458828930798601,2022-03-04 11:26:16,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
3534773,3534773,3534773,235786210304491_1059068077976296,2022-03-04 12:23:57,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
3545369,3545369,3545369,507811220036834_1167128134105136,2022-03-04 12:50:37,native_video,,airbnb.org/help-ukraine,,airbnb
3555585,3555585,3555585,1569218743292563_3013365305544559,2022-03-04 13:15:00,photo,,https://de.airbnb.org/,de.airbnb.org,airbnb
3557361,3557361,3557361,643363103445346_646465303135126,2022-03-04 13:18:57,link,"Airbnb to offer free housing to 100,000 Ukrainian refugees",https://www.airbnb.se/for-airbnb-org/donate,www.airbnb.se,airbnb
3611010,3611010,3611010,1879567625473254_4898557443574242,2022-03-04 16:04:03,link,Airbnb.org,https://www.airbnb.org/?locale=en&_ga=2.87833944.1915128304.1646005521-1256241739.1633442337,www.airbnb.org,airbnb
3650472,3650472,3650472,451916488245627_4478867068883862,2022-03-04 17:42:58,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
3677997,3677997,3677997,214672619412593_928235048056343,2022-03-04 18:59:08,link,Airbnb.org,https://airbnb.org/,airbnb.org,airbnb
3705672,3705672,3705672,1879567625473254_4898943086869011,2022-03-04 21:15:55,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
3730613,3730613,3730613,100068840635330_266283289009690,2022-03-05 15:08:03,link,This is a re-share of a post,https://www.airbnb.org/,www.airbnb.org,airbnb
3731337,3731337,3731337,492945227491255_4735061506612918,2022-03-05 16:10:33,photo,,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
3733337,3733337,3733337,115232709039382_1082132989016011,2022-03-05 19:53:09,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
3764397,3764397,3764397,940790376068234_2245386215608637,2022-03-06 03:50:58,link,"People are booking Airbnbs in Ukraine — not to stay, but to lend their support",https://airbnb.org/?fbclid=IwAR11H3v2k4lLPsURFB1YTm6MqERu57OT0zu5Hn0leWudUITKY0ay_jmaHsc,airbnb.org,airbnb
3839494,3839494,3839494,151893589621_10161626073924622,2022-03-06 11:13:43,link,"Airbnb.org – nimm Menschen auf, die aus der Ukraine fliehen",https://de.airbnb.org/help-ukraine,de.airbnb.org,airbnb
3949010,3949010,3949010,318933669822295_485060079876319,2022-03-06 18:44:15,link,Airbnb.org - Host people fleeing Ukraine,airbnb.org/help-ukraine,,airbnb
3956600,3956600,3956600,743620183286581_749672256014707,2022-03-06 19:08:58,link,Airbnb.org,https://airbnb.org/,airbnb.org,airbnb
4011964,4011964,4011964,12015146258_10159606682116259,2022-03-07 00:04:12,link,Airbnb.org - Host people fleeing Ukraine,https://airbnb.org/help-ukraine,airbnb.org,airbnb
4090075,4090075,4090075,1097520903629360_4914398751941537,2022-03-07 12:52:05,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
4123606,4123606,4123606,20480307504_10159777793112505,2022-03-07 15:15:02,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
4204410,4204410,4204410,100250235158188_489156586267549,2022-03-07 22:35:25,native_video,,https://airbnb.org/help-ukraine,airbnb.org,airbnb
4232257,4232257,4232257,945759385454938_5287254914638675,2022-03-08 02:29:05,photo,,https://www.airbnb.org/get-involved“,www.airbnb.org,airbnb
4291414,4291414,4291414,2789269157213599607_2678397,2022-03-08 08:06:56,album,,airbnb.org/help-ukraine,,airbnb
4428807,4428807,4428807,496967856999789_5452476374782221,2022-03-08 17:54:24,link,Airbnb.org partners with the International Organization for Migration to support people fleeing Ukraine,https://news.airbnb.com/airbnb-org-partners-with-the-international-organization-for-migration-to-support-people-fleeing-ukraine/,news.airbnb.com,airbnb
4436761,4436761,4436761,2789577143774163741_1526445762,2022-03-08 18:18:51,album,,https://it.airbnb.org/help-ukraine?_set_bev_on_new_domain=1646750469_ODA1Mzg3NmM4YjQ2,it.airbnb.org,airbnb
4483888,4483888,4483888,100250235158188_489783826204825,2022-03-08 22:15:30,native_video,,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
4495156,4495156,4495156,92903562457_10159999198562458,2022-03-09 01:46:06,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
4610135,4610135,4610135,133193117039861_1613161725709652,2022-03-09 12:48:29,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine?locale=en-GB&_ga=2.61576364.1851670354.1646829823-135051555.1646829823,www.airbnb.org,airbnb
4643244,4643244,4643244,107035212718936_5036868446402230,2022-03-09 14:37:49,photo,,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
4651209,4651209,4651209,1866161677023804_2773412752965354,2022-03-09 15:04:04,link,Airbnb.org,https://www.airbnb.org/,www.airbnb.org,airbnb
4737923,4737923,4737923,926339947454236_4896033293818195,2022-03-09 22:38:42,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
4737926,4737926,4737926,1114939001884406_5238228632888735,2022-03-09 22:38:42,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
4784453,4784453,4784453,65624273244_10160019605923245,2022-03-10 06:00:03,link,Airbnb.org,https://www.airbnb.org/,www.airbnb.org,airbnb
4817300,4817300,4817300,100250235158188_490610759455465,2022-03-10 08:32:08,native_video,,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
4883022,4883022,4883022,165163146947335_2414240395372921,2022-03-10 12:31:00,native_video,,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
4916840,4916840,4916840,1630872570495532_3062441980671910,2022-03-10 14:27:58,status,,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
4960851,4960851,4960851,754039051372565_4711692932273804,2022-03-10 16:57:18,link,"Airbnb.org – nimm Menschen auf, die aus der Ukraine fliehen",https://de.airbnb.org/help-ukraine,de.airbnb.org,airbnb
4965947,4965947,4965947,1879567625473254_4914942655269054,2022-03-10 17:13:25,link,Airbnb.org,https://airbnb.org/,airbnb.org,airbnb
5010988,5010988,5010988,255732054582938_2098482966974495,2022-03-10 19:58:26,link,International Organization for Migration and Airbnb.org Partner to Support Those Fleeing Ukraine,airbnb.org/help-ukraine,,airbnb
5033275,5033275,5033275,101934522090276_278521061098287,2022-03-10 21:33:02,native_video,,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
5094496,5094496,5094496,100064391123840_337323598424008,2022-03-11 07:13:13,link,Airbnb.org partners with the International Organization for Migration to support people fleeing Ukraine,https://news.airbnb.com/airbnb-org-partners-with-the-international-organization-for-migration-to-support-people-fleeing-ukraine/,news.airbnb.com,airbnb
5170672,5170672,5170672,861496047246429_5160701263992531,2022-03-11 13:04:04,link,This is a re-share of a post,https://de.airbnb.org/help-ukraine,de.airbnb.org,airbnb
5200017,5200017,5200017,100250235158188_491390102710864,2022-03-11 14:40:58,native_video,,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
5227925,5227925,5227925,318933669822295_488211549561172,2022-03-11 16:06:40,link,German ministry partners with #Accommodation-Ukraine and Airbnb.org to provide housing to refugees fleeing Ukraine,https://news.airbnb.com/bmi-cooperates-with-accommodation-ukraine-and-airbnb-org/,news.airbnb.com,airbnb
5244210,5244210,5244210,318933669822295_488238139558513,2022-03-11 17:00:32,link,Airbnb.org partners with the International Organization for Migration to support people fleeing Ukraine,https://news.airbnb.com/airbnb-org-partners-with-the-international-organization-for-migration-to-support-people-fleeing-ukraine/,news.airbnb.com,airbnb
5298520,5298520,5298520,359223894182445_4528573883914071,2022-03-11 21:04:04,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine?fbclid=IwAR26EONqaYKviPYYDJ0nqUsf8Z1SQ5MVKdmLObFxOnjnmN7qFU717UpJzZo,www.airbnb.org,airbnb
5428634,5428634,5428634,2142730652684206_2928060914151172,2022-03-12 23:58:55,link,Airbnb.org - Host people fleeing Ukraine,https://airbnb.org/help-ukraine,airbnb.org,airbnb
5509682,5509682,5509682,800849203443822_1872632486265483,2022-03-13 15:03:07,link,Utah Jazz Foundation partners with Airbnb.org to house refugees fleeing Ukraine,https://cabusinessdaily.com/stories/621694939-utah-jazz-foundation-partners-with-airbnb-org-to-house-refugees-fleeing-ukraine,cabusinessdaily.com,cabusinessdaily
5525481,5525481,5525481,1087256528895202_1097881037832751,2022-03-13 16:40:31,link,Airbnb.org partners with the International Organization for Migration to support people fleeing Ukraine,https://news.airbnb.com/airbnb-org-partners-with-the-international-organization-for-migration-to-support-people-fleeing-ukraine/,news.airbnb.com,airbnb
5633211,5633211,5633211,529855118408513_539473447446680,2022-03-14 10:56:57,link,Airbnb.org - Host people fleeing Ukraine,https://www.airbnb.org/help-ukraine,www.airbnb.org,airbnb
5702543,5702543,5702543,2445149202283866_2476399992492120,2022-03-14 15:54:46,link,Airbnb.org partners with the International Organization for Migration to support people fleeing Ukraine,https://news.airbnb.com/airbnb-org-partners-with-the-international-organization-for-migration-to-support-people-fleeing-ukraine/,news.airbnb.com,airbnb
5738092,5738092,5738092,143734392432586_2309792405826763,2022-03-14 18:06:31,link,Airbnb.org partners with German ministry to support people fleeing Ukraine - KONGRES – Europe Events and Meetings Industry Magazine,https://kongres-magazine.eu/2022/03/airbnb-org-partners-with-german-ministry-to-support-people-fleeing-ukraine/,kongres-magazine.eu,kongres-magazine
5778591,5778591,5778591,288084393475832_303407925276812,2022-03-14 22:37:01,link,#Unterkunft Ukraine : accommodation from people for people,https://ru.airbnb.org/help-ukraine?_set_bev_on_new_domain=1647167839_YWQyM2RlMDMxODYx,ru.airbnb.org,airbnb
5861191,5861191,5861191,204579729740741_1842930625905635,2022-03-15 08:43:48,link,"German MIA, #Accomodation-Ukraine & Airbnb.org Cooperating to Accommodate Refugees Coming From Ukraine - SchengenVisaInfo.com",https://www.schengenvisainfo.com/news/german-mia-accomodation-ukraine-airbnb-org-cooperating-to-accommodate-refugees-coming-from-ukraine/,www.schengenvisainfo.com,schengenvisainfo
5876266,5876266,5876266,110051913732384_777536040317298,2022-03-15 09:45:40,link,"German MIA, #Accomodation-Ukraine & Airbnb.org Cooperating to Accommodate Refugees Coming From Ukraine - The Schengen",https://www.theschengen.com/german-mia-accomodation-ukraine-airbnb-org-cooperating-to-accommodate-refugees-coming-from-ukraine/,www.theschengen.com,theschengen
