,Unnamed: 0.1,Unnamed: 0,platformId,date,type,title,expandedLink,domain,domain2
152700,152700,152700,100064620436567_320728746757804,2022-02-23 01:39:36,link,IRC calls for an urgent diplomatic solution to the crisis in Ukraine to avert a potential humanitarian crisis,https://www.rescue.org/press-release/irc-calls-urgent-diplomatic-solution-crisis-ukraine-avert-potential-humanitarian,www.rescue.org,rescue
230376,230376,230376,100064620436567_321080076722671,2022-02-23 15:13:01,link,The Ukraine-Russia crisis: What is happening?,https://www.rescue.org/article/ukraine-russia-crisis-what-happening,www.rescue.org,rescue
233226,233226,233226,484950398505596_1680943442239613,2022-02-23 15:32:02,link,"IRC fordert dringende diplomatische Lösung des Ukraine-Konflikts, um eine humanitäre Krise abzuwenden",https://de.rescue.org/pressemitteilung/dringende-diplomatische-loesung-ukraine-russland-konflikts,de.rescue.org,rescue
240136,240136,240136,535811036622266_1930569517146404,2022-02-23 16:16:17,link,The Ukraine-Russia crisis: What is happening?,https://www.rescue.org/article/ukraine-russia-crisis-what-happening,www.rescue.org,rescue
248473,248473,248473,484950398505596_1680997668900857,2022-02-23 17:14:17,link,Was passiert in der Russland-Ukraine-Krise?,https://de.rescue.org/artikel/ukraine-russland-krise-was-ist-los,de.rescue.org,rescue
250554,250554,250554,1243516882359056_5174364022607636,2022-02-23 17:29:35,link,This is a re-share of a post,https://de.rescue.org/artikel/ukraine-russland-krise-was-ist-los,de.rescue.org,rescue
271599,271599,271599,130914920438429_1834163060113598,2022-02-23 19:58:33,link,This is a re-share of a post,https://www.rescue.org/article/ukraine-russia-crisis-what-happening,www.rescue.org,rescue
330667,330667,330667,121456331241792_4826466554074056,2022-02-24 05:06:47,link,The Ukraine-Russia crisis: What is happening?,https://www.rescue.org/article/ukraine-russia-crisis-what-happening,www.rescue.org,rescue
380342,380342,380342,484950398505596_1681418512192106,2022-02-24 07:55:00,link,IRC-Reaktion auf den russischen Angriff auf die Ukraine,https://de.rescue.org/pressemitteilung/irc-reaktion-auf-den-russischen-angriff-auf-die-ukraine,de.rescue.org,rescue
530886,530886,530886,230279686993492_5170338246320920,2022-02-24 12:25:12,photo,,https://www.techtotherescue.org/ngo/tech-for-ukraine,www.techtotherescue.org,techtotherescue
576599,576599,576599,2780757525236354010_287423772,2022-02-24 14:15:50,photo,,https://israelrescue.org/safetyukraine,israelrescue.org,israelrescue
583054,583054,583054,330865596936407_4971998579489729,2022-02-24 14:38:41,link,#TechForUkraine,https://techtotherescue.org/tech/tech-for-ukraine,techtotherescue.org,techtotherescue
595752,595752,595752,270606986522_10159310393916523,2022-02-24 14:58:27,link,The Ukraine-Russia crisis: What is happening?,https://www.rescue.org/article/ukraine-russia-crisis-what-happening,www.rescue.org,rescue
639793,639793,639793,484950398505596_1681698355497455,2022-02-24 16:18:53,link,Menschliches Leid in Ukraine verhindern: IRC bereitet sich auf das Schlimmste vor und ruft zum Schutz der Zivilbevölkerung auf,https://de.rescue.org/pressemitteilung/menschliches-leid-ukraine-verhindern-irc-bereitet-sich-auf-das-schlimmste-vor-und,de.rescue.org,rescue
665913,665913,665913,471374289685570_2120495511440098,2022-02-24 17:00:05,link,The Ukraine-Russia crisis: What is happening?,https://www.rescue.org/article/ukraine-russia-crisis-what-happening,www.rescue.org,rescue
701420,701420,701420,1478591585726090_3000031073582126,2022-02-24 17:52:16,link,"As Russia invades Ukraine and civilians desperately seek safety, IRC prepares for the worst and calls for the protection of civilians to avert grave human suffering",https://www.rescue.org/press-release/russia-invades-ukraine-and-civilians-desperately-seek-safety-irc-prepares-worst-and,www.rescue.org,rescue
725139,725139,725139,2319952394968711_2852371468393465,2022-02-24 18:28:38,link,#TechForUkraine,https://techtotherescue.org/tech/tech-for-ukraine,techtotherescue.org,techtotherescue
726400,726400,726400,69578781928_10160281063016929,2022-02-24 18:30:19,link,#TechForUkraine,https://techtotherescue.org/tech/tech-for-ukraine,techtotherescue.org,techtotherescue
760759,760759,760759,270606986522_10159310802686523,2022-02-24 19:52:18,link,"As Russia invades Ukraine and civilians desperately seek safety, IRC prepares for the worst and calls for the protection of civilians to avert grave human suffering",https://www.rescue.org/press-release/russia-invades-ukraine-and-civilians-desperately-seek-safety-irc-prepares-worst-and,www.rescue.org,rescue
788775,788775,788775,500404197419178_1116205502505708,2022-02-24 21:03:10,link,The Ukraine-Russia crisis: What is happening?,https://www.rescue.org/article/ukraine-russia-crisis-what-happening,www.rescue.org,rescue
826495,826495,826495,191400797553736_5703088826384878,2022-02-24 22:49:53,link,The Ukraine-Russia crisis: What is happening?,https://www.rescue.org/article/ukraine-russia-crisis-what-happening,www.rescue.org,rescue
840921,840921,840921,760456764103054_2189737161175000,2022-02-24 23:28:39,link,Crisis in Ukraine: Donate Now.,https://help.rescue.org/donate/ukraine-acq,help.rescue.org,rescue
1005521,1005521,1005521,164553451491_10158776900206492,2022-02-25 08:19:35,photo,,https://www.techtotherescue.org/ngo/tech-for-ukraine,www.techtotherescue.org,techtotherescue
1044048,1044048,1044048,243166236489815_1189438285195934,2022-02-25 09:54:59,link,Was passiert in der Russland-Ukraine-Krise?,https://support.rescue.org/de/Ukraine/~spenden?_cv=1,support.rescue.org,rescue
1044607,1044607,1044607,2425808030974277_3035451980009876,2022-02-25 09:56:02,youtube,Hans-Eckardt Wenzel - Meister des Krieges,https://support.rescue.org/de/Ukraine/~spenden?_cv=1,support.rescue.org,rescue
1095419,1095419,1095419,632718863573306_2255816907930152,2022-02-25 12:12:05,photo,,https://help.rescue.org/donate,help.rescue.org,rescue
1146519,1146519,1146519,100064845962510_327668979404632,2022-02-25 13:48:43,photo,,https://www.techtotherescue.org/tech/tech-for-ukraine,www.techtotherescue.org,techtotherescue
1160846,1160846,1160846,325743041336807_1075895009654936,2022-02-25 14:24:25,link,The Ukraine-Russia crisis: What is happening?,https://www.rescue.org/article/ukraine-russia-crisis-what-happening,www.rescue.org,rescue
1178633,1178633,1178633,467863669991571_4664820446962518,2022-02-25 15:06:21,photo,,https://www.techtotherescue.org/tech/tech-for-ukraine,www.techtotherescue.org,techtotherescue
1206506,1206506,1206506,275404165905069_4526499494128827,2022-02-25 15:52:34,link,The Ukraine-Russia crisis: What is happening?,https://www.rescue.org/article/ukraine-russia-crisis-what-happening,www.rescue.org,rescue
1208936,1208936,1208936,179645365490065_4765377426916813,2022-02-25 15:57:01,photo,,https://www.techtotherescue.org/,www.techtotherescue.org,techtotherescue
1231037,1231037,1231037,2781551829525777735_329425305,2022-02-25 16:33:59,album,,https://www.rescue.org,www.rescue.org,rescue
1256497,1256497,1256497,660805493979461_5071065986286701,2022-02-25 17:32:58,link,#TechForUkraine,https://www.techtotherescue.org/tech/tech-for-ukraine,www.techtotherescue.org,techtotherescue
1320743,1320743,1320743,2781638752901343854_20949707,2022-02-25 19:26:59,video,,rescue.org/helpukraine,,rescue
1320745,1320745,1320745,2781638752901343854_20949707,2022-02-25 19:26:59,video,,rescue.org/helpukraine,,rescue
1385907,1385907,1385907,121162057949307_4959864497412348,2022-02-25 21:44:52,link,This is a re-share of a post,https://help.rescue.org/donate/ukraine-acq,help.rescue.org,rescue
1386149,1386149,1386149,1028366510694180_1804275976436559,2022-02-25 21:45:22,link,Crisis in Ukraine: Donate Now,https://help-uk.rescue.org/,help-uk.rescue.org,rescue
1386288,1386288,1386288,714614452314524_1401334573642505,2022-02-25 21:45:37,link,Crisis in Ukraine: Donate Now,https://help-uk.rescue.org/,help-uk.rescue.org,rescue
1386605,1386605,1386605,648811538978344_1259492747910217,2022-02-25 21:46:25,link,Crisis in Ukraine: Donate Now,https://help-uk.rescue.org/,help-uk.rescue.org,rescue
1387388,1387388,1387388,2781710174023156230_4742126,2022-02-25 21:48:35,album,,https://www.rescue.org,www.rescue.org,rescue
1400508,1400508,1400508,62468251259_10158076222261260,2022-02-25 22:20:40,photo,,https://help.rescue.org/donate/ukraine-acq,help.rescue.org,rescue
1414066,1414066,1414066,995448857251137_4638355629627090,2022-02-25 23:00:03,link,"As Russia invades Ukraine and civilians desperately seek safety, IRC prepares for the worst and calls for the protection of civilians to avert grave human suffering",https://www.rescue.org/press-release/russia-invades-ukraine-and-civilians-desperately-seek-safety-irc-prepares-worst-and,www.rescue.org,rescue
1415100,1415100,1415100,263690435410640_496973132082368,2022-02-25 23:01:45,link,This is a re-share of a post,https://help.rescue.org/donate?social_referer_transaction=703568&ms=sbsocial_%5Bsite%3Acurrent-page%3Apath%5D#.YhhI4kBKp64.facebook,help.rescue.org,rescue
1449506,1449506,1449506,298099306502_10158117035746503,2022-02-26 08:39:23,photo,,https://techtotherescue.org/tech/tech-for-ukraine,techtotherescue.org,techtotherescue
1465284,1465284,1465284,325743041336807_1076594932918277,2022-02-26 15:22:01,link,How can I help Ukraine?,https://www.rescue.org/article/how-can-i-help-ukraine,www.rescue.org,rescue
1470028,1470028,1470028,351688221643227_2787156044763087,2022-02-26 16:32:54,photo,,https://denverfoodrescue.org/,denverfoodrescue.org,denverfoodrescue
1476925,1476925,1476925,100069181386999_262250279424350,2022-02-26 20:39:50,link,This is a re-share of a post,https://help.rescue.org/donate/ukraine-acq,help.rescue.org,rescue
1494910,1494910,1494910,24405438868_10158856702828869,2022-02-27 01:15:08,link,Ukraine: Help Now,https://help.rescue.org/donate/ukraine-acq,help.rescue.org,rescue
1503315,1503315,1503315,658935901308452_1180617382473632,2022-02-27 01:52:20,link,Ukraine: Help Now,https://help.rescue.org/donate/ukraine-acq?ms=fb_ppc_fy22_ukraine_mmus_feb&initialms=fb_ppc_fy22_ukraine_mmus_feb&utm_medium=display&utm_source=facebook&utm_campaign=fy22_ukraine&utm_content=ukraine,help.rescue.org,rescue
1503348,1503348,1503348,546743022398991_1198765570530063,2022-02-27 01:52:28,link,Ukraine: Help Now,https://help.rescue.org/donate/ukraine-acq?ms=fb_ppc_fy22_ukraine_mmus_feb&initialms=fb_ppc_fy22_ukraine_mmus_feb&utm_medium=display&utm_source=facebook&utm_campaign=fy22_ukraine&utm_content=ukraine,help.rescue.org,rescue
1503395,1503395,1503395,729619353853337_2087611991387393,2022-02-27 01:52:39,link,Ukraine: Help Now,https://help.rescue.org/donate/ukraine-acq?ms=fb_ppc_fy22_ukraine_mmus_feb&initialms=fb_ppc_fy22_ukraine_mmus_feb&utm_medium=display&utm_source=facebook&utm_campaign=fy22_ukraine&utm_content=ukraine,help.rescue.org,rescue
1503419,1503419,1503419,636732703199823_1792745567598525,2022-02-27 01:52:45,link,Ukraine: Help Now,https://help.rescue.org/donate/ukraine-acq?ms=fb_ppc_fy22_ukraine_mmus_feb&initialms=fb_ppc_fy22_ukraine_mmus_feb&utm_medium=display&utm_source=facebook&utm_campaign=fy22_ukraine&utm_content=ukraine,help.rescue.org,rescue
1503544,1503544,1503544,810056976144959_1292521081231877,2022-02-27 01:53:23,link,Ukraine: Help Now,https://help.rescue.org/donate/ukraine-acq?ms=fb_ppc_fy22_ukraine_mmus_feb&initialms=fb_ppc_fy22_ukraine_mmus_feb&utm_medium=display&utm_source=facebook&utm_campaign=fy22_ukraine&utm_content=ukraine,help.rescue.org,rescue
