,Unnamed: 0.1,Unnamed: 0,platformId,date,type,title,expandedLink,domain,domain2
207445,207445,207445,934458176570124_5692954684053759,2022-02-23 12:48:50,link,Responding to the Conflict in Ukraine,https://internationalmedicalcorps.org.uk/we-are-helping-people-affected-conflict-ukraine,internationalmedicalcorps.org.uk,internationalmedicalcorps
244647,244647,244647,1040577706078198_2462874640515157,2022-02-23 16:49:37,link,Responding to the Conflict in Ukraine,https://internationalmedicalcorps.org.uk/we-are-helping-people-affected-conflict-ukraine,internationalmedicalcorps.org.uk,internationalmedicalcorps
363780,363780,363780,267506363925840_926323584710778,2022-02-24 07:19:42,photo,,https://internationalmedicalcorps.org/updates/we-are-helping-people-affected-by-conflict-in-ukraine/,internationalmedicalcorps.org,internationalmedicalcorps
572279,572279,572279,313774828684270_5046667978728241,2022-02-24 14:08:50,photo,,https://internationalmedicalcorps.org/updates/we-are-helping-people-affected-by-conflict-in-ukraine/,internationalmedicalcorps.org,internationalmedicalcorps
614281,614281,614281,1547311748665792_5062399947156937,2022-02-24 15:27:16,photo,,https://internationalmedicalcorps.org/updates/we-are-helping-people-affected-by-conflict-in-ukraine/,internationalmedicalcorps.org,internationalmedicalcorps
664334,664334,664334,56710126741_10160309840026742,2022-02-24 16:57:39,photo,,https://internationalmedicalcorps.org/updates/we-are-helping-people-affected-by-conflict-in-ukraine/,internationalmedicalcorps.org,internationalmedicalcorps
752639,752639,752639,200494943352125_4922043434530562,2022-02-24 19:09:59,photo,,https://internationalmedicalcorps.org/updates/we-are-helping-people-affected-by-conflict-in-ukraine/,internationalmedicalcorps.org,internationalmedicalcorps
882173,882173,882173,1957426494469286_3041288649416393,2022-02-25 02:45:42,photo,,https://internationalmedicalcorps.org/updates/we-are-helping-people-affected-by-conflict-in-ukraine/,internationalmedicalcorps.org,internationalmedicalcorps
1285787,1285787,1285787,100044599472080_493846772111968,2022-02-25 18:23:48,link,Give to International Medical Corps,https://give.internationalmedicalcorps.org/page/99837/donate/1?locale=en-US,give.internationalmedicalcorps.org,internationalmedicalcorps
1342955,1342955,1342955,317994000546_10158742409090547,2022-02-25 20:10:06,native_video,,https://give.internationalmedicalcorps.org/page/99837/donate/1?locale=en-US,give.internationalmedicalcorps.org,internationalmedicalcorps
1354157,1354157,1354157,115181050370_10166076273360371,2022-02-25 20:32:57,native_video,,https://give.internationalmedicalcorps.org/page/99837/donate/,give.internationalmedicalcorps.org,internationalmedicalcorps
1367417,1367417,1367417,119744788098439_7112999925439522,2022-02-25 21:02:11,native_video,,https://give.internationalmedicalcorps.org/page/99837/donate/1?locale=en-US,give.internationalmedicalcorps.org,internationalmedicalcorps
1409852,1409852,1409852,165807867745284_555155892143811,2022-02-25 22:47:21,native_video,,https://give.internationalmedicalcorps.org/page/99837/donate/,give.internationalmedicalcorps.org,internationalmedicalcorps
1492758,1492758,1492758,384175788672295_1361617480928116,2022-02-27 01:04:28,photo,,https://internationalmedicalcorps.org/,internationalmedicalcorps.org,internationalmedicalcorps
1698137,1698137,1698137,37543266722_10158490680301723,2022-02-27 12:39:50,status,,https://give.internationalmedicalcorps.org/page/99837/donate/1,give.internationalmedicalcorps.org,internationalmedicalcorps
2278480,2278480,2278480,329033745955_10160033222335956,2022-03-01 02:09:05,link,Practice Peace Ukraine,https://internationalmedicalcorps.org/,internationalmedicalcorps.org,internationalmedicalcorps
2475975,2475975,2475975,4945230638896969_4950639005022799,2022-03-01 17:40:26,link,Ukraine,https://internationalmedicalcorps.org/country/ukraine/,internationalmedicalcorps.org,internationalmedicalcorps
2502475,2502475,2502475,934458176570124_5711544532194774,2022-03-01 19:01:03,link,War in Ukraine,https://internationalmedicalcorps.org.uk/war-in-ukraine,internationalmedicalcorps.org.uk,internationalmedicalcorps
2502858,2502858,2502858,6578860909_10158747193990910,2022-03-01 19:02:09,photo,,https://give.internationalmedicalcorps.org/page/99837/donate/1?locale=en-US,give.internationalmedicalcorps.org,internationalmedicalcorps
2528531,2528531,2528531,181359465261433_5110256042371726,2022-03-01 20:26:52,photo,,https://give.internationalmedicalcorps.org/page/99837/donate/1?ea.tracking.id=DP~UA22~DPLBU2202&_ga=2.130638602.408946612.1646158208-2073620226.1646158208,give.internationalmedicalcorps.org,internationalmedicalcorps
2531231,2531231,2531231,1245011082229916_5040961512634835,2022-03-01 20:36:07,photo,,https://give.internationalmedicalcorps.org/page/99837/donate/1?locale=en-US,give.internationalmedicalcorps.org,internationalmedicalcorps
2545404,2545404,2545404,102850228928_10159172863128929,2022-03-01 21:28:53,link,Give to International Medical Corps,https://internationalmedicalcorps.org/eme.../war-in-ukraine/,internationalmedicalcorps.org,internationalmedicalcorps
2987368,2987368,2987368,229885851048350_989811048389156,2022-03-03 02:00:08,photo,,https://internationalmedicalcorps.org/emergency-response/war-in-ukraine/,internationalmedicalcorps.org,internationalmedicalcorps
2987379,2987379,2987379,522931054825042_1370254840092655,2022-03-03 02:00:09,photo,,https://internationalmedicalcorps.org/emergency-response/war-in-ukraine/,internationalmedicalcorps.org,internationalmedicalcorps
2990457,2990457,2990457,469875830146099_1353927821740891,2022-03-03 02:17:29,status,,https://internationalmedicalcorps.org/,internationalmedicalcorps.org,internationalmedicalcorps
