,Unnamed: 0.1,Unnamed: 0,platformId,date,description,postUrl,expandedLink,domain,domain2
23565,23565,23565,2787304359621414069_6892292025,2022-03-05 15:03:14,"АПТЕЧКА: ЩО ВАЖЛИВО ВЗЯТИ З СОБОЮ У СХОВИЩЕ

В умовах воєнного стану – важливо мати перевірене зручне сховище, де треба перебувати в оголошений період. Окрім теплих речей та продуктів необхідно взяти з собою аптечку для побутових потреб. Складіть її в спеціальну сумку або косметичку.

А саме пластирі різних розмірів; активоване вугілля від інтоксикації; препарат для зниження жару; препарат для знеболення; протиалергічний препарат; ліки від діареї; ліки від шлункової інфекції; краплі на випадок інфекційно-запальних захворювань очей; ліки, що ви приймаєте (дозування щонайменше на тиждень) з описом способу застосування та дози; запас масок; термометр.

Якщо ви маєте хронічні захворювання та приймаєте систематичне лікування, не забувайте взяти ліки з собою.

Джерело: Міністерство охорони здоров'я України
https://moz.gov.ua/article/news/rekomendacii-dlja-naselennja-pid-chas-voennogo-stanu",https://www.instagram.com/p/CaufowcIcy1/,https://moz.gov.ua/article/news/rekomendacii-dlja-naselennja-pid-chas-voennogo-stanu,moz.gov.ua,moz
31656,31656,31656,2791075160384895981_45156065394,2022-03-10 19:55:08,"«Україна готує провокації з хімічною зброєю»!

Центр протидії дезінформації при РНБО інформує про черговий фейк російських окупантів. Цього разу в мізки росіян намагаються проштовхнути наратив про нібито хімічну зброю США в Україні.

Публікації інформаційних терористів на цю тему з'явилися ще до війни. Як і завжди, рф залякує своє наслення за допомогою вигаданих фактів та цифр: «9 березня українські націоналісти завезли до Золочева 80 тонн аміаку». Так вони намагаються виправдати свої злочини хоча б перед власним населенням, якого бояться набагато більше, ніж санкцій. Схожу тактику рф вже застосовувала у Алеппо (Сирія) 2013 року, тому недооцінювати небезпеку провокацій не слід – треба бути готовим. Для цього просимо ознайомитися зі спеціальною інструкцією від МОЗ:

https://moz.gov.ua/article/news/scho-robiti-u-razi-himichnoi-ataki-abo-avarii-na-himpidpriemstvi

Не слід забувати, що весь світ з Україною і не довіряє жодному слову окупантів. І активна інформаційна діяльність державних органів та населення не дозволить спрацювати плану ворога.

Разом переможемо!",https://www.instagram.com/p/Ca75BIUKHvt/,https://moz.gov.ua/article/news/scho-robiti-u-razi-himichnoi-ataki-abo-avarii-na-himpidpriemstvi,moz.gov.ua,moz
