,Unnamed: 0.1,Unnamed: 0,platformId,date,description,postUrl,expandedLink,domain,domain2
3538,3538,3538,2780783463337362340_1267608359,2022-02-24 15:07:22,"My deepest prayer to the people of Ukraine. 💔

You guys are not alone , we stand together in those hard times.

STOP THE FUCKING WAR !!

Few links of funds to support :

https://everybodycan.com.ua/
THE INTERNATIONAL FUND ‘КОЖЕН МОЖЕ’ HELPS CHILDREN WITH DISABILITIES AND ELDERLY PEOPLE WITH DISABILITIES AFFECTED BY THE WAR IN UKRAINE AND IN NEED OF SUPPORT, AS WELL AS SUPPORTS HOSPITALS AND VOLUNTEER INITIATIVES IN UKRAINE.

https://vuf-td.space/
THE UKRAINIAN FOUNDATION ‘ТЕРИТОРІЯ ДОБРА’ 
HELPS THE ARMY OF UKRAINE AND CHILDREN LIVING IN THE WAR ZONES OF THE DONETSK AND LUHANSK REGIONS.

https://savelife.in.ua/
THE ‘RETURN ALIVE’ FOUNDATION IS ONE OF THE LARGEST CHARITY ORGANIZATIONS HELPING AT THE UKRAINIAN FRONT.

https://crisisrelief.un.org/t/ukraine
UKRAINE HUMANITARIAN FUND HELPS HUMANITARIAN NGOS AND UN AGENCIES IN UKRAINE TO ASSIST THE MOST VULNERABLE COMMUNITIES AND PEOPLE, AND TO PROVIDE THEM WITH URGENTLY NEEDED FOOD, WATER, SHELTER AND OTHER BASIC SUPPORT.",https://www.instagram.com/p/CaXU9OhgQOk/,https://crisisrelief.un.org/t/ukraine,crisisrelief.un.org,un
3618,3618,3618,2780773939457034484_549312634,2022-02-24 14:48:27,"🥲🥲🥲🥲🥲Posted @withregram • @sineadgleeson The news is terrifying. This photo is of people hiding in Kyiv’s metro (I can’t take my eyes off the child with the pet carrier). Thinking of the those who can’t flee, through illness, disability, geography or means. 

Solidarity with the people of Ukraine. You can donate to the UN’s humanitarian fund here: crisisrelief.un.org/t/ukraine",https://www.instagram.com/p/CaXSyouAAj0/,crisisrelief.un.org/t/ukraine,crisisrelief.un.org/t/ukraine,un
3763,3763,3763,2780754869896745034_6311067555,2022-02-24 14:10:34,"Ukraine is fighting. Ukrainian people are going through hell right now, as their land and their freedom are being violently taken away. 💔

We send all our love and support to everyone affected and all our friends living here, whose friends and family are there.

We stand up for freedom.

Please help if you can by donating through these links:

https://everybodycan.com.ua/
https://vuf-td.space/
https://savelife.in.ua/
https://crisisrelief.un.org/t/ukraine",https://www.instagram.com/p/CaXOdIzohBK/,https://crisisrelief.un.org/t/ukraine,crisisrelief.un.org,un
4550,4550,4550,2780643870325756693_1449986301,2022-02-24 10:30:01,"ELSA Malta stands with Ukraine 🇺🇦🇲🇹

List of Resources to Show Support:
Supporting the Ukrainian army - https://savelife.in.ua/en/donate/
Save the Children - https://www.savethechildren.org.uk/where-we-work/europe/ukraine
Ukraine Humanitarian Fund - https://crisisrelief.un.org/t/ukraine
Red Cross - https://www.icrc.org/en/donate/ukraine

@elsaukraine",https://www.instagram.com/p/CaW1N4ZolMV/,https://crisisrelief.un.org/t/ukraine,crisisrelief.un.org,un
6249,6249,6249,2780783463337362340_1267608359,2022-02-24 15:07:22,"My deepest prayer to the people of Ukraine. 💔

You guys are not alone , we stand together in those hard times.

STOP THE FUCKING WAR !!

Few links of funds to support :

https://everybodycan.com.ua/
THE INTERNATIONAL FUND ‘КОЖЕН МОЖЕ’ HELPS CHILDREN WITH DISABILITIES AND ELDERLY PEOPLE WITH DISABILITIES AFFECTED BY THE WAR IN UKRAINE AND IN NEED OF SUPPORT, AS WELL AS SUPPORTS HOSPITALS AND VOLUNTEER INITIATIVES IN UKRAINE.

https://vuf-td.space/
THE UKRAINIAN FOUNDATION ‘ТЕРИТОРІЯ ДОБРА’ 
HELPS THE ARMY OF UKRAINE AND CHILDREN LIVING IN THE WAR ZONES OF THE DONETSK AND LUHANSK REGIONS.

https://savelife.in.ua/
THE ‘RETURN ALIVE’ FOUNDATION IS ONE OF THE LARGEST CHARITY ORGANIZATIONS HELPING AT THE UKRAINIAN FRONT.

https://crisisrelief.un.org/t/ukraine
UKRAINE HUMANITARIAN FUND HELPS HUMANITARIAN NGOS AND UN AGENCIES IN UKRAINE TO ASSIST THE MOST VULNERABLE COMMUNITIES AND PEOPLE, AND TO PROVIDE THEM WITH URGENTLY NEEDED FOOD, WATER, SHELTER AND OTHER BASIC SUPPORT.",https://www.instagram.com/p/CaXU9OhgQOk/,https://crisisrelief.un.org/t/ukraine,crisisrelief.un.org,un
6329,6329,6329,2780773939457034484_549312634,2022-02-24 14:48:27,"🥲🥲🥲🥲🥲Posted @withregram • @sineadgleeson The news is terrifying. This photo is of people hiding in Kyiv’s metro (I can’t take my eyes off the child with the pet carrier). Thinking of the those who can’t flee, through illness, disability, geography or means. 

Solidarity with the people of Ukraine. You can donate to the UN’s humanitarian fund here: crisisrelief.un.org/t/ukraine",https://www.instagram.com/p/CaXSyouAAj0/,crisisrelief.un.org/t/ukraine,crisisrelief.un.org/t/ukraine,un
6474,6474,6474,2780754869896745034_6311067555,2022-02-24 14:10:34,"Ukraine is fighting. Ukrainian people are going through hell right now, as their land and their freedom are being violently taken away. 💔

We send all our love and support to everyone affected and all our friends living here, whose friends and family are there.

We stand up for freedom.

Please help if you can by donating through these links:

https://everybodycan.com.ua/
https://vuf-td.space/
https://savelife.in.ua/
https://crisisrelief.un.org/t/ukraine",https://www.instagram.com/p/CaXOdIzohBK/,https://crisisrelief.un.org/t/ukraine,crisisrelief.un.org,un
7261,7261,7261,2780643870325756693_1449986301,2022-02-24 10:30:01,"ELSA Malta stands with Ukraine 🇺🇦🇲🇹

List of Resources to Show Support:
Supporting the Ukrainian army - https://savelife.in.ua/en/donate/
Save the Children - https://www.savethechildren.org.uk/where-we-work/europe/ukraine
Ukraine Humanitarian Fund - https://crisisrelief.un.org/t/ukraine
Red Cross - https://www.icrc.org/en/donate/ukraine

@elsaukraine",https://www.instagram.com/p/CaW1N4ZolMV/,https://crisisrelief.un.org/t/ukraine,crisisrelief.un.org,un
7817,7817,7817,2780993174179164188_4237083031,2022-02-24 22:04:02,"Why has the world travelled backwards? 

WHY WAR?

We should have taught ourselves better. This “LEADERS of THE WORLD” should know better. WAR is never an answer. This is just PURE AGGRESSION initiated by one’s EGO. 

#Ukraine #istandwithukraine 

https://crisisrelief.un.org/ukraine-crisis",https://www.instagram.com/p/CaYEo69vDAc/,https://crisisrelief.un.org/ukraine-crisis,crisisrelief.un.org,un
8001,8001,8001,2780954730552469238_43366208,2022-02-24 20:47:39,"We’re saddened and appalled by the invasion into Ukraine. As a Global company we have many members based in the country and we hope for their safety and a quick stop to these unnecessary actions. Ways to help members in Ukraine: 

Russia-Ukraine Crisis/War: Info and ways to help https://ukrainewar.carrd.co/ 
United Nations - Ukraine Humanitarian Fund https://crisisrelief.un.org/t/ukraine 
Save the Children - Ukraine Emergency Fund ​​https://www.savethechildren.org.uk/where-we-work/europe/ukraine 
People in Need - https://www.peopleinneed.net/what-we-do/humanitarian-aid-and-development/ukraine 

For information and resources to help, tap the link in bio. 

Image by Stocksy Contributor Alexandra Stets @alexandraliven",https://www.instagram.com/p/CaX75fjBab2/,https://crisisrelief.un.org/t/ukraine,crisisrelief.un.org,un
8354,8354,8354,2780993174179164188_4237083031,2022-02-24 22:04:02,"Why has the world travelled backwards? 

WHY WAR?

We should have taught ourselves better. This “LEADERS of THE WORLD” should know better. WAR is never an answer. This is just PURE AGGRESSION initiated by one’s EGO. 

#Ukraine #istandwithukraine 

https://crisisrelief.un.org/ukraine-crisis",https://www.instagram.com/p/CaYEo69vDAc/,https://crisisrelief.un.org/ukraine-crisis,crisisrelief.un.org,un
8537,8537,8537,2780954730552469238_43366208,2022-02-24 20:47:39,"We’re saddened and appalled by the invasion into Ukraine. As a Global company we have many members based in the country and we hope for their safety and a quick stop to these unnecessary actions. Ways to help members in Ukraine: 

Russia-Ukraine Crisis/War: Info and ways to help https://ukrainewar.carrd.co/ 
United Nations - Ukraine Humanitarian Fund https://crisisrelief.un.org/t/ukraine 
Save the Children - Ukraine Emergency Fund ​​https://www.savethechildren.org.uk/where-we-work/europe/ukraine 
People in Need - https://www.peopleinneed.net/what-we-do/humanitarian-aid-and-development/ukraine 

For information and resources to help, tap the link in bio. 

Image by Stocksy Contributor Alexandra Stets @alexandraliven",https://www.instagram.com/p/CaX75fjBab2/,https://crisisrelief.un.org/t/ukraine,crisisrelief.un.org,un
