,Unnamed: 0.1,Unnamed: 0,tweetid,userid,screen_name,date,expandedLink,domain
2062693,2062726,2062726,1.4969030112637297e+18,1.365322635740078e+18,HiasEurope,2022-02-24 17:41:03,https://www.hias.org/news/press-releases/hias-statement-humanitarian-crisis-ukraine,www.hias.org
2071776,2071809,2071809,1.4969083211350876e+18,1.3082676233275187e+18,Democracy_2022,2022-02-24 18:02:09,https://act.hias.org/page/6048/donate/1,act.hias.org
2089337,2089370,2089370,1.4969183246467564e+18,8.823929347249029e+17,MTPSU1987,2022-02-24 18:41:54,https://www.hias.org/news/press-releases/hias-statement-humanitarian-crisis-ukraine,www.hias.org
2092373,2092406,2092406,1.4969198851122995e+18,1.206253253090042e+18,JewsforWarren,2022-02-24 18:48:06,https://www.hias.org/news/press-releases/hias-statement-humanitarian-crisis-ukraine,www.hias.org
2138449,2138482,2138482,1.4969469044410982e+18,17995314.0,CBST,2022-02-24 20:35:28,https://www.hias.org/news/press-releases/hias-statement-humanitarian-crisis-ukraine,www.hias.org
2160089,2160122,2160122,1.4969591223020257e+18,21215254.0,HIASrefugees,2022-02-24 21:24:01,http://hias.org/statement-ukraine-crisis-unfolds,hias.org
2190989,2191023,2191023,1.4969764496303473e+18,503591870.0,KatFarrington,2022-02-24 22:32:52,https://www.hias.org/news/press-releases/hias-statement-humanitarian-crisis-ukraine,www.hias.org
2191827,2191861,2191861,1.4969768901792358e+18,1.296645693071929e+18,sammi_leto,2022-02-24 22:34:37,https://www.hias.org/news/press-releases/hias-statement-humanitarian-crisis-ukraine,www.hias.org
2197542,2197576,2197576,1.4969800064881336e+18,171656520.0,ninatypewriter,2022-02-24 22:47:00,https://www.hias.org/news/press-releases/hias-statement-humanitarian-crisis-ukraine,www.hias.org
2217169,2217204,2217204,1.4969908698318397e+18,1.082830789283332e+18,ilovepaulmcc,2022-02-24 23:30:10,https://act.hias.org/page/37014/donate/1?ac=jtk774-fr-d-v1&utm_medium=email&utm_source=hias.org&utm_campaign=HIAS&utm_content=jtk774+-+RR:+Ukraine+Crisis+FR+-+fr+-+d+-+v1+17:32:15&ea.url.id=1177713&forwarded=true,act.hias.org
2217277,2217312,2217312,1.4969909325580288e+18,280110910.0,oonasez,2022-02-24 23:30:25,https://act.hias.org/page/37014/donate/1?ac=jtk774-fr-d-v1&utm_medium=email&utm_source=hias.org&utm_campaign=HIAS&utm_content=jtk774+-+RR:+Ukraine+Crisis+FR+-+fr+-+d+-+v1+17:32:15&ea.url.id=1177713&forwarded=true,act.hias.org
2217282,2217317,2217317,1.4969909366177423e+18,1.0367183950166712e+18,MikePresley18,2022-02-24 23:30:26,https://act.hias.org/page/37014/donate/1?ac=jtk774-fr-d-v1&utm_medium=email&utm_source=hias.org&utm_campaign=HIAS&utm_content=jtk774+-+RR:+Ukraine+Crisis+FR+-+fr+-+d+-+v1+17:32:15&ea.url.id=1177713&forwarded=true,act.hias.org
2217475,2217510,2217510,1.496991045732778e+18,500526466.0,EighteenVenture,2022-02-24 23:30:52,https://act.hias.org/page/37014/donate/1?ac=jtk774-fr-d-v1&utm_medium=email&utm_source=hias.org&utm_campaign=HIAS&utm_content=jtk774+-+RR:+Ukraine+Crisis+FR+-+fr+-+d+-+v1+17:32:15&ea.url.id=1177713&forwarded=true,act.hias.org
2218511,2218546,2218546,1.49699159931358e+18,40089945.0,leahkrevit,2022-02-24 23:33:04,https://act.hias.org/page/37014/donate/1?ac=jtk774-fr-d-v1&utm_medium=email&utm_source=hias.org&utm_campaign=HIAS&utm_content=jtk774+-+RR:+Ukraine+Crisis+FR+-+fr+-+d+-+v1+17:32:15&ea.url.id=1177713&forwarded=true,act.hias.org
2219544,2219579,2219579,1.4969921696217047e+18,60773313.0,garik16,2022-02-24 23:35:20,https://act.hias.org/page/37014/donate/1?ac=jtk774-fr-d-v1&utm_medium=email&utm_source=hias.org&utm_campaign=HIAS&utm_content=jtk774+-+RR:+Ukraine+Crisis+FR+-+fr+-+d+-+v1+17:32:15&ea.url.id=1177713&forwarded=true,act.hias.org
2221030,2221065,2221065,1.496993016644608e+18,9.014532177828332e+17,Feenielives4him,2022-02-24 23:38:42,https://act.hias.org/page/37014/donate/1?ac=jtk774-fr-d-v1&utm_medium=email&utm_source=hias.org&utm_campaign=HIAS&utm_content=jtk774+-+RR:+Ukraine+Crisis+FR+-+fr+-+d+-+v1+17:32:15&ea.url.id=1177713&forwarded=true,act.hias.org
2224661,2224696,2224696,1.4969950471868662e+18,3329523370.0,Fleecenik,2022-02-24 23:46:46,https://act.hias.org/page/37014/donate/1?ac=jtk774-fr-d-v1&utm_medium=email&utm_source=hias.org&utm_campaign=HIAS&utm_content=jtk774+-+RR:+Ukraine+Crisis+FR+-+fr+-+d+-+v1+17:32:15&ea.url.id=1177713&forwarded=true,act.hias.org
2224954,2224989,2224989,1.496995218985349e+18,2340848833.0,JessTherkelsen,2022-02-24 23:47:27,https://www.hias.org/news/press-releases/hias-statement-humanitarian-crisis-ukraine,www.hias.org
2225472,2225507,2225507,1.4969954960862372e+18,1.161142582690214e+18,SophieZnS,2022-02-24 23:48:33,https://act.hias.org/page/37014/donate/1?ac=jtk774-fr-d-v1&utm_medium=email&utm_source=hias.org&utm_campaign=HIAS&utm_content=jtk774+-+RR:+Ukraine+Crisis+FR+-+fr+-+d+-+v1+17:32:15&ea.url.id=1177713&forwarded=true,act.hias.org
2227340,2227375,2227375,1.49699654006528e+18,49303023.0,DC4Hope,2022-02-24 23:52:42,https://act.hias.org/page/37014/donate/1?ac=jtk774-fr-d-v1&utm_medium=email&utm_source=hias.org&utm_campaign=HIAS&utm_content=jtk774+-+RR:+Ukraine+Crisis+FR+-+fr+-+d+-+v1+17:32:15&ea.url.id=1177713&forwarded=true,act.hias.org
2234161,2234196,2234196,1.4970002022085714e+18,2449902444.0,rachel_shoshana,2022-02-25 00:07:15,https://act.hias.org/page/37014/donate/1?ac=jtk774-fr-d-v1&utm_medium=email&utm_source=hias.org&utm_campaign=HIAS&utm_content=jtk774+-+RR:+Ukraine+Crisis+FR+-+fr+-+d+-+v1+17:32:15&ea.url.id=1177713&forwarded=true,act.hias.org
2266898,2266934,2266934,1.4970181952656015e+18,8.882035175880991e+17,ConnieRR4,2022-02-25 01:18:45,https://act.hias.org/page/37014/donate/1?ac=jtk774-fr-d-v1&utm_medium=email&utm_source=hias.org&utm_campaign=HIAS&utm_content=jtk774+-+RR:+Ukraine+Crisis+FR+-+fr+-+d+-+v1+17:32:15&ea.url.id=1177713&forwarded=true,act.hias.org
2349042,2349079,2349079,1.4970659731190292e+18,24931027.0,JoshMalina,2022-02-25 04:28:36,https://act.hias.org/page/6048/donate/1,act.hias.org
2351894,2351931,2351931,1.4970674997241938e+18,2438109488.0,lubydubydoo,2022-02-25 04:34:40,https://act.hias.org/page/6048/donate/1,act.hias.org
2645955,2646001,2646001,1.497214044020818e+18,3269344962.0,oshprince,2022-02-25 14:16:59,https://www.hias.org/news/press-releases/hias-statement-humanitarian-crisis-ukraine,www.hias.org
2670166,2670213,2670213,1.4972256374000886e+18,1.0595170552951972e+18,VelvetBarstool,2022-02-25 15:03:03,https://www.hias.org/news/press-releases/hias-statement-humanitarian-crisis-ukraine,www.hias.org
2699119,2699167,2699167,1.49723939023752e+18,26612827.0,Anniewhatever,2022-02-25 15:57:42,https://act.hias.org/page/37014/donate/1?ac=jtk774-fr-d-v1&utm_medium=email&utm_source=hias.org&utm_campaign=HIAS&utm_content=jtk774+-+RR:+Ukraine+Crisis+FR+-+fr+-+d+-+v1+17:32:15&ea.url.id=1177713&forwarded=true,act.hias.org
