,Unnamed: 0.1,Unnamed: 0,tweetid,userid,screen_name,date,expandedLink,domain
1313916,1313937,1313937,1.496547544872403e+18,16688755.0,mercycorps,2022-02-23 18:08:33,https://www.mercycorps.org/press-room/releases/ukraine-conflict-humanitarian-crisis,www.mercycorps.org
1358033,1358055,1358055,1.4965643220211343e+18,196984126.0,rabbeesannee,2022-02-23 19:15:13,https://www.mercycorps.org/press-room/releases/ukraine-conflict-humanitarian-crisis,www.mercycorps.org
1434211,1434234,1434234,1.4965919824365732e+18,16688755.0,mercycorps,2022-02-23 21:05:08,https://www.mercycorps.org/press-room/releases/ukraine-conflict-humanitarian-crisis,www.mercycorps.org
1434542,1434565,1434565,1.49659209443729e+18,1529421373.0,RichFM39517086,2022-02-23 21:05:35,https://www.mercycorps.org/press-room/releases/ukraine-conflict-humanitarian-crisis,www.mercycorps.org
1440792,1440815,1440815,1.4965944357186068e+18,235008170.0,JeremyRsnyder,2022-02-23 21:14:53,https://www.mercycorps.org/press-room/releases/ukraine-conflict-humanitarian-crisis,www.mercycorps.org
2276968,2277004,2277004,1.4970238617866977e+18,8.667649099497964e+17,DinaEsposito10,2022-02-25 01:41:16,https://www.mercycorps.org/press-room/releases/ukraine-conflict-humanitarian-crisis,www.mercycorps.org
2859379,2859428,2859428,1.4973151393301873e+18,7.631807845219983e+17,mcdo_jess,2022-02-25 20:58:42,https://www.mercycorps.org/blog/humanitarian-catastrophe-looms-ukraine,www.mercycorps.org
3281438,3281494,3281494,1.4975332642437448e+18,961729910.0,ResilienceMC,2022-02-26 11:25:27,https://www.mercycorps.org/donate/crisis-ukraine-give-now,www.mercycorps.org
4619433,4619516,4619516,1.4981789105251656e+18,1334985288.0,Brad_Yazzolino,2022-02-28 06:11:01,https://www.mercycorps.org/press-room/releases/ukraine-conflict-humanitarian-crisis,www.mercycorps.org
4620395,4620478,4620478,1.4981793302743e+18,1334985288.0,Brad_Yazzolino,2022-02-28 06:12:41,https://www.mercycorps.org/press-room/releases/ukraine-conflict-humanitarian-crisis,www.mercycorps.org
4860017,4860108,4860108,1.4982793728595763e+18,1.3282470194298266e+18,MercyCorps_NL,2022-02-28 12:50:13,https://www.mercycorps.org/press-room/releases/ukraine-conflict-humanitarian-crisis,www.mercycorps.org
5198347,5198443,5198443,1.4984162914886164e+18,4889199309.0,caitlincat3,2022-02-28 21:54:17,http://mercycorps.org/donate/crisis-ukraine-give-now,mercycorps.org
5351455,5351556,5351556,1.4984758047659213e+18,3053550018.0,DudCanoe58,2022-03-01 01:50:46,https://www.mercycorps.org/action/ukraine-needs-humanitarian-assistance-now,www.mercycorps.org
5356349,5356450,5356450,1.4984777375892275e+18,2967137516.0,dinerlee,2022-03-01 01:58:27,https://www.mercycorps.org/action/ukraine-needs-humanitarian-assistance-now,www.mercycorps.org
6969645,6969785,6969785,1.4990850728127242e+18,512450725.0,kenialazo_,2022-03-02 18:11:47,https://www.mercycorps.org/donate/crisis-ukraine-give-now,www.mercycorps.org
7001542,7001683,7001683,1.499097358054789e+18,7.268321354625229e+17,JFAcerbi,2022-03-02 19:00:36,https://www.mercycorps.org/donate/crisis-ukraine-give-now?akid=13994.1340150.Twqbb8&donation_type=single&hpc=50&rd=1&sort=desc&source=EA4WUMSTOPEZZ0302221&status=PIM&t=14&utm_campaign=ukraine%2Bappeal1&utm_content=ukraine%2Bappeal1%2Bfeb%2B26%2B2022&utm_medium=email&utm_source=appeal,www.mercycorps.org
7284461,7284607,7284607,1.499203830545748e+18,16056371.0,jadever,2022-03-03 02:03:41,https://www.mercycorps.org/donate/crisis-ukraine-give-now,www.mercycorps.org
7305072,7305218,7305218,1.4992114767075615e+18,18541690.0,zigzagaly,2022-03-03 02:34:04,https://www.mercycorps.org/donate/crisis-ukraine-give-now,www.mercycorps.org
