,Unnamed: 0.1,Unnamed: 0,tweetid,userid,screen_name,date,expandedLink,domain
1469246,1469270,1469270,1.4966040306547261e+18,16334429.0,IMC_Worldwide,2022-02-23 21:53:01,https://internationalmedicalcorps.org/updates/we-are-helping-people-affected-by-conflict-in-ukraine/,internationalmedicalcorps.org
1470771,1470795,1470795,1.4966045306241106e+18,85090936.0,Feenwald,2022-02-23 21:55:00,https://internationalmedicalcorps.org/updates/we-are-helping-people-affected-by-conflict-in-ukraine/,internationalmedicalcorps.org
2290929,2290965,2290965,1.49703199494101e+18,4148535373.0,tr3nzohype,2022-02-25 02:13:35,https://internationalmedicalcorps.org/updates/we-are-helping-people-affected-by-conflict-in-ukraine/,internationalmedicalcorps.org
2319563,2319600,2319600,1.4970492670679245e+18,1740452718.0,sandel1123,2022-02-25 03:22:13,https://internationalmedicalcorps.org/updates/we-are-helping-people-affected-by-conflict-in-ukraine/,internationalmedicalcorps.org
2321721,2321758,2321758,1.497050521001083e+18,36173488.0,GUMusic_,2022-02-25 03:27:12,https://internationalmedicalcorps.org/updates/we-are-helping-people-affected-by-conflict-in-ukraine/,internationalmedicalcorps.org
2329526,2329563,2329563,1.4970550468357816e+18,121234234.0,joetsuki,2022-02-25 03:45:11,https://internationalmedicalcorps.org/updates/we-are-helping-people-affected-by-conflict-in-ukraine/,internationalmedicalcorps.org
2338543,2338580,2338580,1.4970599797605745e+18,157206830.0,hakubotan0511,2022-02-25 04:04:47,https://internationalmedicalcorps.org/updates/we-are-helping-people-affected-by-conflict-in-ukraine/,internationalmedicalcorps.org
2345163,2345200,2345200,1.4970637674355466e+18,119262269.0,disscatea,2022-02-25 04:19:50,https://internationalmedicalcorps.org/updates/we-are-helping-people-affected-by-conflict-in-ukraine/,internationalmedicalcorps.org
2365334,2365371,2365371,1.497074679898538e+18,8.857441186760622e+17,Shige_2haime,2022-02-25 05:03:12,https://internationalmedicalcorps.org/updates/we-are-helping-people-affected-by-conflict-in-ukraine/,internationalmedicalcorps.org
2456259,2456299,2456299,1.49712241598131e+18,1.486659102768046e+18,cyber_messi,2022-02-25 08:12:53,https://internationalmedicalcorps.org/updates/we-are-helping-people-affected-by-conflict-in-ukraine/,internationalmedicalcorps.org
