,Unnamed: 0.1,Unnamed: 0,tweetid,userid,screen_name,date,expandedLink,domain
3864743,3864815,3864815,1.4978295789910958e+18,18125466.0,vorobyov,2022-02-27 07:02:54,https://moz.gov.ua/article/news/moz-ta-chervonij-hrest-vidkrivajut-rahunok-dlja-dopomogi-medikam?fbclid=IwAR2kADsXNRvLleFLAe2w39PNpqW0Lu8DDR6M_jKrCphTJ-ES9-eylA_c4tE,moz.gov.ua
3867437,3867509,3867509,1.497830879929856e+18,43835528.0,textorian,2022-02-27 07:08:04,https://moz.gov.ua/article/news/moz-ta-chervonij-hrest-vidkrivajut-rahunok-dlja-dopomogi-medikam?fbclid=IwAR2kADsXNRvLleFLAe2w39PNpqW0Lu8DDR6M_jKrCphTJ-ES9-eylA_c4tE,moz.gov.ua
3981822,3981895,3981895,1.497884759548117e+18,1651880388.0,NeelyAshmun,2022-02-27 10:42:10,https://moz.gov.ua/article/news/moz-ta-chervonij-hrest-vidkrivajut-rahunok-dlja-dopomogi-medikam?fbclid=IwAR2kADsXNRvLleFLAe2w39PNpqW0Lu8DDR6M_jKrCphTJ-ES9-eylA_c4tE,moz.gov.ua
4237577,4237655,4237655,1.4980049422248714e+18,548590061.0,PaulineNemchak,2022-02-27 18:39:44,https://moz.gov.ua/article/news/moz-ta-chervonij-hrest-vidkrivajut-rahunok-dlja-dopomogi-medikam,moz.gov.ua
4369990,4370072,4370072,1.4980666501590098e+18,98899705.0,PerspectivesUkr,2022-02-27 22:44:56,https://en.moz.gov.ua/article/news/foreign-doctors-can-start-working-in-ukrainian-hospitals,en.moz.gov.ua
4563870,4563953,4563953,1.498155028351234e+18,113527315.0,MelissaRNMBA,2022-02-28 04:36:07,https://moz.gov.ua/article/ministry-mandates/nakaz-moz-ukraini-vid-26022022--383-pro-zaluchennja-medichnih-pracivnikiv-inozemciv-do-nadannja-dopomogi-postrazhdalim-v-umovah-voennogo-stanu?fbclid=IwAR2y7_19lypMB5lXT4id_f8wBmxigL8hZMp6EAMtcd7ZUrv3cSu8yownyNg,moz.gov.ua
4856384,4856475,4856475,1.4982777658372137e+18,9.0359754660975e+17,nela_lana,2022-02-28 12:43:50,https://en.moz.gov.ua/article/news/we-invite-our-foreign-colleagues-to-work-in-medical-institutions-during-this-difficult-time,en.moz.gov.ua
4916586,4916679,4916679,1.4983030032160317e+18,217546049.0,paramedicjen,2022-02-28 14:24:07,https://en.moz.gov.ua/article/news/we-invite-our-foreign-colleagues-to-work-in-medical-institutions-during-this-difficult-time,en.moz.gov.ua
5135720,5135816,5135816,1.498391650015617e+18,53802173.0,Dreadnoult,2022-02-28 20:16:22,https://moz.gov.ua/article/news/moz-ta-chervonij-hrest-vidkrivajut-rahunok-dlja-dopomogi-medikam,moz.gov.ua
5243849,5243948,5243948,1.4984346749218202e+18,44584813.0,grade1view,2022-02-28 23:07:20,https://en.moz.gov.ua/article/news/we-invite-our-foreign-colleagues-to-work-in-medical-institutions-during-this-difficult-time,en.moz.gov.ua
5378578,5378679,5378679,1.4984863614976205e+18,778690326.0,MakanaBoy,2022-03-01 02:32:43,https://en.moz.gov.ua/article/news/we-invite-our-foreign-colleagues-to-work-in-medical-institutions-during-this-difficult-time,en.moz.gov.ua
5684403,5684511,5684511,1.4986061549680968e+18,255705264.0,FintanYTWalsh,2022-03-01 10:28:44,https://moz.gov.ua/article/news/v-ukrainu-nadijshla-gumanitarna-dopomoga-z-varshavi,moz.gov.ua
6152002,6152123,6152123,1.4987836372186767e+18,450513117.0,richardpilnick,2022-03-01 22:13:59,https://moz.gov.ua/article/news/dopomozhit-ukrainskij-armii-ta-medikam,moz.gov.ua
6159506,6159627,6159627,1.4987864054466683e+18,1.4715869935407882e+18,chasebaxphoto,2022-03-01 22:24:59,https://moz.gov.ua/article/news/dopomozhit-ukrainskij-armii-ta-medikam,moz.gov.ua
6166138,6166259,6166259,1.4987889849901097e+18,9.107518602979942e+17,eva_ostrowska,2022-03-01 22:35:14,https://moz.gov.ua/article/news/dopomozhit-ukrainskij-armii-ta-medikam,moz.gov.ua
6360035,6360159,6360159,1.4988644161331978e+18,1.1718860072198185e+18,UremmaI,2022-03-02 03:34:59,https://moz.gov.ua/article/news/dopomozhit-ukrainskij-armii-ta-medikam,moz.gov.ua
6446675,6446799,6446799,1.4988978199308739e+18,15921069.0,steanson,2022-03-02 05:47:43,https://moz.gov.ua/article/news/dopomozhit-ukrainskij-armii-ta-medikam,moz.gov.ua
6630554,6630683,6630683,1.498967221896364e+18,1.4331336745984369e+18,simondereyer,2022-03-02 10:23:29,https://moz.gov.ua/article/news/dopomozhit-ukrainskij-armii-ta-medikam,moz.gov.ua
6677984,6678116,6678116,1.4989841874534482e+18,30625873.0,MesutNFT,2022-03-02 11:30:54,https://moz.gov.ua/article/news/dopomozhit-ukrainskij-armii-ta-medikam,moz.gov.ua
7618610,7618759,7618759,1.499322718558249e+18,2885471575.0,maryrepresenta1,2022-03-03 09:56:06,https://moz.gov.ua/article/news/dorogi-partneri-ta-druzi-ukraini-%E2%80%93-predstavniki-riznih-krain-svitu,moz.gov.ua
7619237,7619386,7619386,1.49932293700608e+18,1.2644345736787067e+18,aramis_1980,2022-03-03 09:56:58,https://moz.gov.ua/article/news/dorogi-partneri-ta-druzi-ukraini-%E2%80%93-predstavniki-riznih-krain-svitu,moz.gov.ua
