,Unnamed: 0.1,Unnamed: 0,tweetid,userid,screen_name,date,expandedLink,domain
37550607,37551422,37551422,1.5102054957763174e+18,1.217877375222014e+18,enero_list,2022-04-02 10:40:23,https://prytulafoundation.org/,prytulafoundation.org
38749465,38750322,38750322,1.5107703065705062e+18,4248089172.0,DentAlex33,2022-04-04 00:04:44,https://prytulafoundation.org/,prytulafoundation.org
40182059,40182946,40182946,1.5116020200835482e+18,814913724.0,JayWithDee,2022-04-06 07:09:40,https://prytulafoundation.org/en,prytulafoundation.org
40715067,40715963,40715963,1.5117902446722826e+18,1.5004181419896177e+18,ambi_fr,2022-04-06 19:37:36,https://prytulafoundation.org/en#block-ff57b01769944b718d68823a1a6a1b9e,prytulafoundation.org
41058799,41059699,41059699,1.5119580782620221e+18,1.473771483436667e+18,serhiyprytula,2022-04-07 06:44:31,https://prytulafoundation.org/en,prytulafoundation.org
41059247,41060147,41060147,1.5119582911690916e+18,69234834.0,Xilandro,2022-04-07 06:45:22,https://prytulafoundation.org/en,prytulafoundation.org
41059354,41060254,41060254,1.5119583442606326e+18,2717654846.0,Didux2288,2022-04-07 06:45:34,https://prytulafoundation.org/en,prytulafoundation.org
41059386,41060286,41060286,1.5119583538738872e+18,336511617.0,esheremet,2022-04-07 06:45:37,https://prytulafoundation.org/en,prytulafoundation.org
41059650,41060550,41060550,1.5119584879993364e+18,18247789.0,chuzhamamka,2022-04-07 06:46:09,https://prytulafoundation.org/en,prytulafoundation.org
41059706,41060606,41060606,1.5119585095245906e+18,2358252699.0,OManoylova,2022-04-07 06:46:14,https://prytulafoundation.org/en,prytulafoundation.org
41059803,41060703,41060703,1.511958552025387e+18,1.0095271381759304e+18,aliwingsua,2022-04-07 06:46:24,https://prytulafoundation.org/en,prytulafoundation.org
41060208,41061108,41061108,1.511958765670744e+18,194010219.0,twireader1318,2022-04-07 06:47:15,https://prytulafoundation.org/en,prytulafoundation.org
41060519,41061419,41061419,1.511958919039619e+18,58119465.0,VirtusX13,2022-04-07 06:47:51,https://prytulafoundation.org/en,prytulafoundation.org
41060846,41061746,41061746,1.5119590651652055e+18,8.227155294167532e+17,CJ_Tsuyoshi_05,2022-04-07 06:48:26,https://prytulafoundation.org/en,prytulafoundation.org
41060884,41061784,41061784,1.511959081858257e+18,3077299589.0,MaxStarodubtsev,2022-04-07 06:48:30,https://prytulafoundation.org/en,prytulafoundation.org
41063641,41064541,41064541,1.5119604195351347e+18,2526765812.0,Oblikove_Dilo,2022-04-07 06:53:49,https://prytulafoundation.org/en,prytulafoundation.org
41064270,41065170,41065170,1.5119607182282097e+18,1.4760661480347853e+18,pandianaaa,2022-04-07 06:55:00,https://prytulafoundation.org/en,prytulafoundation.org
41064429,41065329,41065329,1.5119607924422328e+18,2362903430.0,AMIG07,2022-04-07 06:55:18,https://prytulafoundation.org/en,prytulafoundation.org
41065358,41066258,41066258,1.5119612560471286e+18,3042835796.0,luda_shch,2022-04-07 06:57:08,https://prytulafoundation.org/en,prytulafoundation.org
41065842,41066742,41066742,1.5119615238576005e+18,7.732631792123576e+17,LunnarWolf,2022-04-07 06:58:12,https://prytulafoundation.org/en,prytulafoundation.org
41071797,41072697,41072697,1.5119793463779901e+18,3240962619.0,przekwant,2022-04-07 08:09:02,https://prytulafoundation.org/en,prytulafoundation.org
41082188,41083088,41083088,1.5119837403015905e+18,296311149.0,idioteque_2017,2022-04-07 08:26:29,https://prytulafoundation.org/en,prytulafoundation.org
41085192,41086092,41086092,1.5119849699792486e+18,221213183.0,uncleLem,2022-04-07 08:31:22,https://prytulafoundation.org/en,prytulafoundation.org
41091502,41092403,41092403,1.511987544707195e+18,9.340021692081028e+17,Mr_Brooks82,2022-04-07 08:41:36,https://prytulafoundation.org/en,prytulafoundation.org
41094902,41095803,41095803,1.5119890006507684e+18,152941820.0,icblnk,2022-04-07 08:47:23,https://prytulafoundation.org/en,prytulafoundation.org
41111238,41112139,41112139,1.511995347509338e+18,301885537.0,derpboi,2022-04-07 09:12:37,https://prytulafoundation.org/en,prytulafoundation.org
41122649,41123550,41123550,1.5119996255651922e+18,4764228808.0,kindlyThenOther,2022-04-07 09:29:36,https://prytulafoundation.org/en,prytulafoundation.org
41127904,41128806,41128806,1.5120016091522785e+18,633952203.0,levolume,2022-04-07 09:37:29,https://prytulafoundation.org/en,prytulafoundation.org
41129424,41130326,41130326,1.5120021434855793e+18,1.02202079623399e+18,slowlivinmaks,2022-04-07 09:39:37,https://prytulafoundation.org/en,prytulafoundation.org
41134534,41135436,41135436,1.5120040738846843e+18,1.0724918012552684e+18,mariiapunda,2022-04-07 09:47:17,https://prytulafoundation.org/en,prytulafoundation.org
41147548,41148450,41148450,1.5120087754310738e+18,1.031429884189528e+18,Valerii_Vit,2022-04-07 10:05:58,https://prytulafoundation.org/en,prytulafoundation.org
41156448,41157350,41157350,1.5120121281479803e+18,1.1546804664585134e+18,Exovichenza1,2022-04-07 10:19:17,https://prytulafoundation.org/en,prytulafoundation.org
41188940,41189843,41189843,1.5120237074930196e+18,1.5120234110143898e+18,StepanBagdasar3,2022-04-07 11:05:18,https://prytulafoundation.org/en,prytulafoundation.org
41192119,41193022,41193022,1.5120247659759985e+18,1.4984304650526638e+18,NKrav2,2022-04-07 11:09:30,https://prytulafoundation.org/en,prytulafoundation.org
41416017,41416923,41416923,1.51209367893581e+18,7.00689124915712e+17,WarClashes,2022-04-07 15:43:21,https://prytulafoundation.org/en,prytulafoundation.org
