,Unnamed: 0.1,Unnamed: 0,tweetid,userid,screen_name,date,expandedLink,domain
546803,546811,546811,1.4962139177349448e+18,1.1820076281818604e+18,LoLoNikol1,2022-02-22 20:02:50,https://www.rsukraine.org/,www.rsukraine.org
1608460,1608484,1608484,1.496659827619246e+18,23850425.0,gregory_b,2022-02-24 01:34:44,https://www.rsukraine.org/,www.rsukraine.org
1681486,1681510,1681510,1.496700506022064e+18,1.20617214118144e+18,oneoneckone,2022-02-24 04:16:22,https://www.rsukraine.org/,www.rsukraine.org
1689929,1689953,1689953,1.4967059169467105e+18,248463988.0,rwtnorton,2022-02-24 04:37:52,https://www.rsukraine.org/,www.rsukraine.org
1695790,1695814,1695814,1.4967096662476104e+18,368592149.0,hectxrmedrano,2022-02-24 04:52:46,https://www.rsukraine.org/,www.rsukraine.org
1698195,1698219,1698219,1.4967113065813647e+18,1.454268884861784e+18,Butterful777,2022-02-24 04:59:17,https://www.rsukraine.org/,www.rsukraine.org
1715449,1715473,1715473,1.496724040077099e+18,1.2806566140730532e+18,genmasupremacy,2022-02-24 05:49:53,https://www.rsukraine.org,www.rsukraine.org
1716576,1716600,1716600,1.4967248793573212e+18,1.2963651411524076e+18,planethyyh,2022-02-24 05:53:13,https://www.rsukraine.org/,www.rsukraine.org
1728494,1728518,1728518,1.4967326261361705e+18,1.294074329471152e+18,meltingskittles,2022-02-24 06:24:00,https://www.rsukraine.org/,www.rsukraine.org
1758235,1758259,1758259,1.4967484555316634e+18,1.480126066144514e+18,MF_DOOM_LIKER,2022-02-24 07:26:54,https://www.rsukraine.org/,www.rsukraine.org
1770864,1770888,1770888,1.4967544203396792e+18,286339153.0,AILEDVALERDI,2022-02-24 07:50:36,https://www.rsukraine.org/,www.rsukraine.org
1898012,1898038,1898038,1.4968103176487444e+18,299715714.0,stumpynat,2022-02-24 11:32:43,https://www.rsukraine.org/,www.rsukraine.org
2024022,2024054,2024054,1.4968802257534362e+18,16506769.0,Limecello,2022-02-24 16:10:31,https://www.rsukraine.org/,www.rsukraine.org
2084895,2084928,2084928,1.496915753638908e+18,1.2676116717046006e+18,NaduPerren,2022-02-24 18:31:41,https://www.rsukraine.org/,www.rsukraine.org
2097162,2097195,2097195,1.4969227245218243e+18,565058751.0,skylerguns,2022-02-24 18:59:23,https://www.rsukraine.org/,www.rsukraine.org
2106625,2106658,2106658,1.4969284412113756e+18,25912403.0,torrHL,2022-02-24 19:22:06,https://www.rsukraine.org/,www.rsukraine.org
2117305,2117338,2117338,1.4969346279357645e+18,8.761381534296515e+17,MarisciaFox,2022-02-24 19:46:41,https://www.rsukraine.org/,www.rsukraine.org
2123859,2123892,2123892,1.4969383610885857e+18,1.2032522159406162e+18,paulnxv_,2022-02-24 20:01:31,https://www.rsukraine.org/,www.rsukraine.org
2174882,2174915,2174915,1.496967510985298e+18,1.177281373704319e+18,of_housewives,2022-02-24 21:57:21,https://www.rsukraine.org/,www.rsukraine.org
2186826,2186860,2186860,1.4969741297398047e+18,1.456291639996076e+18,LisaBow09179485,2022-02-24 22:23:39,https://www.rsukraine.org/,www.rsukraine.org
2186917,2186951,2186951,1.4969741847774085e+18,1.1603373353823685e+18,marissawild19,2022-02-24 22:23:52,https://www.rsukraine.org/,www.rsukraine.org
2230466,2230501,2230501,1.4969982267628093e+18,1.3113813745957192e+18,reinerhugger,2022-02-24 23:59:24,https://www.rsukraine.org,www.rsukraine.org
2254707,2254742,2254742,1.49701138439927e+18,17772050.0,SofiaDistracted,2022-02-25 00:51:41,https://www.rsukraine.org/,www.rsukraine.org
2275074,2275110,2275110,1.4970227958882222e+18,14957322.0,Mixbook,2022-02-25 01:37:02,https://www.rsukraine.org/,www.rsukraine.org
2344284,2344321,2344321,1.4970632465151631e+18,1.158986687369773e+18,chakae_cos,2022-02-25 04:17:46,https://www.rsukraine.org/,www.rsukraine.org
