,Unnamed: 0.1,Unnamed: 0,tweetid,userid,screen_name,date,expandedLink,domain
3183971,3184024,3184024,1.4974845054054318e+18,1.49747846319172e+18,Donately_,2022-02-26 08:11:42,https://pages.donately.com/helpforukraine/campaign/help-for-ukraine,pages.donately.com
3184887,3184940,3184940,1.4974849751716454e+18,1.49747846319172e+18,Donately_,2022-02-26 08:13:34,https://pages.donately.com/helpforukraine/campaign/help-for-ukraine,pages.donately.com
3186213,3186266,3186266,1.497485650421035e+18,1.49747846319172e+18,Donately_,2022-02-26 08:16:15,https://pages.donately.com/helpforukraine/campaign/help-for-ukraine,pages.donately.com
3187463,3187516,3187516,1.4974862714255237e+18,1.49747846319172e+18,Donately_,2022-02-26 08:18:43,https://pages.donately.com/helpforukraine/campaign/help-for-ukraine,pages.donately.com
3190705,3190758,3190758,1.497487882856112e+18,1.49747846319172e+18,Donately_,2022-02-26 08:25:07,https://pages.donately.com/helpforukraine/campaign/help-for-ukraine,pages.donately.com
3191572,3191625,3191625,1.497488318778458e+18,1.49747846319172e+18,Donately_,2022-02-26 08:26:51,https://pages.donately.com/helpforukraine/campaign/help-for-ukraine,pages.donately.com
3201150,3201203,3201203,1.497493238294401e+18,1.49747846319172e+18,Donately_,2022-02-26 08:46:24,https://pages.donately.com/helpforukraine/campaign/help-for-ukraine/,pages.donately.com
3201457,3201510,3201510,1.4974933849901875e+18,1.49747846319172e+18,Donately_,2022-02-26 08:46:59,https://pages.donately.com/helpforukraine/campaign/help-for-ukraine/,pages.donately.com
3202484,3202538,3202538,1.497493922280575e+18,1.49747846319172e+18,Donately_,2022-02-26 08:49:07,https://pages.donately.com/helpforukraine/campaign/help-for-ukraine/,pages.donately.com
3202646,3202700,3202700,1.4974940102015795e+18,1.49747846319172e+18,Donately_,2022-02-26 08:49:28,https://pages.donately.com/helpforukraine/campaign/help-for-ukraine/,pages.donately.com
3243069,3243124,3243124,1.4975150106832896e+18,1.49747846319172e+18,Donately_,2022-02-26 10:12:55,http://pages.donately.com/helpforukraine,pages.donately.com
4461072,4461154,4461154,1.498109247443202e+18,37841185.0,Alyssafarah,2022-02-28 01:34:12,https://pages.donately.com/remmromania/campaign/help-for-ukraine/donate?amount=20?dref=per_34abeb1388e0,pages.donately.com
4461660,4461742,4461742,1.498109519615955e+18,9.780293464966226e+17,QueenbeeRose69,2022-02-28 01:35:17,https://pages.donately.com/remmromania/campaign/help-for-ukraine/donate?amount=20?dref=per_34abeb1388e0,pages.donately.com
11136876,11137106,11137106,1.500615523029168e+18,8.884805119114977e+17,ocs_Columbus,2022-03-06 23:33:15,https://pages.donately.com/sist.../campaign/help-for-ukraine,pages.donately.com
12442494,12442748,12442748,1.5010823853450404e+18,1.4650915650938962e+18,HiiyaGeorgie,2022-03-08 06:28:24,https://pages.donately.com/foreignlegionofukraine/campaign/let-s-help-ukraine,pages.donately.com
13223014,13223282,13223282,1.5013487620269793e+18,1.4650915650938962e+18,HiiyaGeorgie,2022-03-09 00:06:53,https://pages.donately.com/foreignlegionofukraine/campaign/let-s-help-ukraine,pages.donately.com
13686097,13686375,13686375,1.5014988698587177e+18,1.5014968763731436e+18,GeltzJohn,2022-03-09 10:03:21,https://pages.donately.com/johngeltz/campaign/stop-war-in-ukraine/,pages.donately.com
13688603,13688881,13688881,1.501499596362576e+18,1.5014968763731436e+18,GeltzJohn,2022-03-09 10:06:14,https://pages.donately.com/johngeltz/campaign/stop-war-in-ukraine/,pages.donately.com
19425336,19425711,19425711,1.5034163762953093e+18,1.4650915650938962e+18,HiiyaGeorgie,2022-03-14 17:02:50,https://pages.donately.com/foreignlegionofukraine/campaign/let-s-help-ukraine,pages.donately.com
33068548,33069223,33069223,1.5082738700291727e+18,7.192633066622935e+17,dduran122,2022-03-28 02:44:47,https://pages.donately.com/sistersop/campaign/help-for-ukraine/,pages.donately.com
40495292,40496185,40496185,1.5117195397714207e+18,361939671.0,Mme1960,2022-04-06 14:56:39,https://pages.donately.com/ambulanceforukraine/campaign/ambulance-for-ukraine/,pages.donately.com
40824470,40825366,40825366,1.5118285267893655e+18,97738910.0,OleOriginals,2022-04-06 22:09:43,https://pages.donately.com/ambulanceforukraine/campaign/ambulance-for-ukraine,pages.donately.com
42730432,42731358,42731358,1.5126267090607186e+18,1.5089349052537487e+18,PowalaWegner,2022-04-09 03:01:25,https://pages.donately.com/ambulanceforukraine/campaign/ambulance-for-ukraine/,pages.donately.com
43095341,43096275,43096275,1.5128012165976637e+18,1355362435.0,SpeersyS,2022-04-09 14:34:51,https://pages.donately.com/ambulanceforukraine/campaign/ambulance-for-ukraine/donate?dref=per_fecb6750faaa,pages.donately.com
43510602,43511541,43511541,1.5129879502665605e+18,34109536.0,fraser51,2022-04-10 02:56:51,https://pages.donately.com/ambulanceforukraine/campaign/ambulance-for-ukraine/,pages.donately.com
47106220,47107244,47107244,1.514677898900226e+18,8.179076349425828e+17,foo4ah,2022-04-14 18:52:07,https://pages.donately.com/ambulanceforukraine/campaign/ambulance-for-ukraine,pages.donately.com
47428392,47429418,47429418,1.5148558883009495e+18,30851986.0,pyrmomma,2022-04-15 06:39:23,https://pages.donately.com/ambulanceforukraine/campaign/ambulance-for-ukraine,pages.donately.com
