,Unnamed: 0.1,Unnamed: 0,tweetid,userid,screen_name,date,expandedLink,domain
5072240,5072335,5072335,1.498366249394389e+18,1.316923582824448e+18,bestofcorrin,2022-02-28 18:35:26,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
5083296,5083391,5083391,1.4983704981195858e+18,442951798.0,lourrypride,2022-02-28 18:52:19,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
5149181,5149277,5149277,1.4983968965445755e+18,1480961598.0,r_winfield,2022-02-28 20:37:13,https://www.sunflowerofpeace.com,www.sunflowerofpeace.com
5257306,5257406,5257406,1.4984399057222124e+18,3018836102.0,MaratKornyev,2022-02-28 23:28:07,https://www.sunflowerofpeace.com,www.sunflowerofpeace.com
5368560,5368661,5368661,1.498482464599249e+18,1.0023620616099964e+18,AVAR_USA,2022-03-01 02:17:14,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
5399316,5399418,5399418,1.4984946829044204e+18,1404885511.0,mlcr_07,2022-03-01 03:05:47,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
5444095,5444197,5444197,1.4985123702300795e+18,1.4803926916157686e+18,Chill_Iguanas,2022-03-01 04:16:04,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
5450470,5450572,5450572,1.498514992404091e+18,1.4201257622087967e+18,SacawaginaNft,2022-03-01 04:26:29,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
5450654,5450756,5450756,1.498515075510018e+18,1.4847067678168635e+18,WesleyLeung13,2022-03-01 04:26:49,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
5450782,5450884,5450884,1.498515126319784e+18,1.4847067678168635e+18,WesleyLeung13,2022-03-01 04:27:01,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
5666139,5666247,5666247,1.4985990830360576e+18,471477942.0,RHA_Wellbeing,2022-03-01 10:00:38,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
5722659,5722772,5722772,1.4986205499411046e+18,255496018.0,russellEjoslin,2022-03-01 11:25:56,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
5735841,5735956,5735956,1.498625532778455e+18,480271866.0,kiki_viola8,2022-03-01 11:45:44,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
5809702,5809817,5809817,1.498653781373948e+18,37492261.0,roschkoenig,2022-03-01 13:37:59,http://www.sunflowerofpeace.com,www.sunflowerofpeace.com
5848614,5848729,5848729,1.4986686331233403e+18,35963991.0,jenlooper,2022-03-01 14:37:00,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
5867165,5867280,5867280,1.4986753562404209e+18,48222275.0,kiarra13,2022-03-01 15:03:43,https://www.sunflowerofpeace.com/?fbclid=IwAR3PMYMZ8NCbbsdInpXJuIT8oTLwteade6ffcEC4hMYsakrjmrMU0b7c0h0,www.sunflowerofpeace.com
6199268,6199389,6199389,1.498801123217617e+18,7.064990942571192e+17,22ColeRin,2022-03-01 23:23:28,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
6201032,6201153,6201153,1.4988017776758006e+18,7.31136043378987e+17,NeverDrumpfEver,2022-03-01 23:26:04,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
6354369,6354493,6354493,1.4988620904123802e+18,9.70826745451434e+17,LyonCraft_glass,2022-03-02 03:25:44,http://sunflowerofpeace.com,sunflowerofpeace.com
6371279,6371403,6371403,1.4988688223332925e+18,9.70826745451434e+17,LyonCraft_glass,2022-03-02 03:52:29,http://sunflowerofpeace.com,sunflowerofpeace.com
6772812,6772946,6772946,1.49901764964855e+18,1.3718781342205256e+18,SoPrettyEarring,2022-03-02 13:43:52,http://sunflowerofpeace.com,sunflowerofpeace.com
7131345,7131489,7131489,1.4991472035830374e+18,1.0066281699134218e+18,JoannaSlater18,2022-03-02 22:18:40,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
7139613,7139757,7139757,1.4991503948569272e+18,1.162890423095976e+18,SerenityWolf_,2022-03-02 22:31:21,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
7200401,7200546,7200546,1.499173111236903e+18,52926483.0,mmaug,2022-03-03 00:01:37,http://sunflowerofpeace.com/links,sunflowerofpeace.com
7283309,7283455,7283455,1.4992034197974794e+18,275714700.0,letat_lechat,2022-03-03 02:02:03,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
7284354,7284500,7284500,1.4992037904985784e+18,1.3718781342205256e+18,SoPrettyEarring,2022-03-03 02:03:32,http://sunflowerofpeace.com,sunflowerofpeace.com
7818029,7818182,7818182,1.4993910850842952e+18,41609275.0,devolverdigital,2022-03-03 14:27:46,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
7818169,7818322,7818322,1.4993911359948472e+18,96106139.0,uncharteddork,2022-03-03 14:27:58,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
7818187,7818340,7818340,1.4993911445805875e+18,1077339504.0,CaseyExplosion,2022-03-03 14:28:00,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
7818383,7818536,7818536,1.4993912116892836e+18,54493013.0,jaxx_vb,2022-03-03 14:28:16,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
7818423,7818577,7818577,1.4993912276403036e+18,2249621528.0,Godimas101,2022-03-03 14:28:20,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
7818485,7818639,7818639,1.499391249182118e+18,7.388131932886016e+17,Kledboi,2022-03-03 14:28:25,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
7818627,7818781,7818781,1.499391295579902e+18,16245643.0,izzataziz,2022-03-03 14:28:36,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
7818760,7818914,7818914,1.4993913422956708e+18,1.3060147554595635e+18,mauroav91359812,2022-03-03 14:28:48,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
7818779,7818933,7818933,1.499391349417603e+18,433715783.0,Liam_Davenport,2022-03-03 14:28:49,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
7818873,7819027,7819027,1.4993913836054446e+18,2494077494.0,JYKKAIY,2022-03-03 14:28:57,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
7818988,7819142,7819142,1.4993914250452705e+18,254827273.0,CatGirlGeorge,2022-03-03 14:29:07,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
7818994,7819148,7819148,1.499391425565184e+18,203738977.0,Pyrotastic,2022-03-03 14:29:07,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
7819194,7819348,7819348,1.499391505362006e+18,1.1394822652501484e+18,sandavis12,2022-03-03 14:29:26,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
7819254,7819408,7819408,1.4993915298441871e+18,1.3026559840752558e+18,GamesLiek,2022-03-03 14:29:32,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
7819387,7819541,7819541,1.4993915766609715e+18,1.026187342795731e+18,JA_Johnson_,2022-03-03 14:29:43,https://www.sunflowerofpeace.com/,www.sunflowerofpeace.com
