,Unnamed: 0.1,Unnamed: 0,tweetid,userid,screen_name,date,expandedLink,domain
2257986,2258021,2258021,1.4970132042743276e+18,275757559.0,cajunfj40,2022-02-25 00:58:55,https://www.actionagainsthunger.org/,www.actionagainsthunger.org
8819340,8819524,8819524,1.4997491615913124e+18,24186861.0,HawksmoorLondon,2022-03-04 14:10:38,https://www.actionagainsthunger.org.uk/ukraine-appeal,www.actionagainsthunger.org.uk
11628230,11628464,11628464,1.500791727799554e+18,1479665604.0,AnnaRenfrew,2022-03-07 11:13:25,https://campaigns.actionagainsthunger.org.uk/page/87491/action/1,campaigns.actionagainsthunger.org.uk
11687172,11687406,11687406,1.5008116116610867e+18,8.438419271077929e+17,rachelbose1,2022-03-07 12:32:26,https://campaigns.actionagainsthunger.org.uk/page/87491/action/1,campaigns.actionagainsthunger.org.uk
11699446,11699680,11699680,1.5008157221167882e+18,1.4418636685267722e+18,NoelCar25563782,2022-03-07 12:48:46,https://campaigns.actionagainsthunger.org.uk/page/87491/action/1,campaigns.actionagainsthunger.org.uk
11780916,11781154,11781154,1.5008432583180493e+18,549324265.0,EloiseRobinson5,2022-03-07 14:38:11,https://campaigns.actionagainsthunger.org.uk/page/87491/action/1,campaigns.actionagainsthunger.org.uk
12585775,12586031,12586031,1.5011307218381783e+18,21223422.0,Pearlfinders,2022-03-08 09:40:28,https://www.actionagainsthunger.org.uk/ukraine-appeal,www.actionagainsthunger.org.uk
13009680,13009945,13009945,1.5012725535239741e+18,1479665604.0,AnnaRenfrew,2022-03-08 19:04:03,https://campaigns.actionagainsthunger.org.uk/page/100738/action/1,campaigns.actionagainsthunger.org.uk
13935412,13935690,13935690,1.5015789908422287e+18,3183620655.0,katemunro2015,2022-03-09 15:21:44,https://campaigns.actionagainsthunger.org.uk/page/100738/action/1,campaigns.actionagainsthunger.org.uk
14092998,14093278,14093278,1.5016339134244209e+18,1095092144.0,judithescribano,2022-03-09 18:59:58,https://www.actionagainsthunger.org.uk/our-impact/stories/anas-story-escaping-the-conflict-in-ukraine,www.actionagainsthunger.org.uk
15980315,15980621,15980621,1.502243089980797e+18,1479665604.0,AnnaRenfrew,2022-03-11 11:20:37,https://campaigns.actionagainsthunger.org.uk/page/100738/action/1,campaigns.actionagainsthunger.org.uk
16019912,16020219,16020219,1.5022544112503398e+18,1.1265365533737984e+18,SarahKosciukie1,2022-03-11 12:05:36,https://campaigns.actionagainsthunger.org.uk/page/100738/action/1,campaigns.actionagainsthunger.org.uk
16088197,16088504,16088504,1.5022747967086797e+18,59242142.0,B_Rob1979,2022-03-11 13:26:37,https://campaigns.actionagainsthunger.org.uk/page/100738/action/1,campaigns.actionagainsthunger.org.uk
16090042,16090349,16090349,1.502275373995856e+18,1.4457018554141327e+18,Bobwitch1,2022-03-11 13:28:54,https://campaigns.actionagainsthunger.org.uk/page/100738/action/1,campaigns.actionagainsthunger.org.uk
16111780,16112088,16112088,1.5022819971458458e+18,375925102.0,auntyande,2022-03-11 13:55:13,https://campaigns.actionagainsthunger.org.uk/page/100738/action/1,campaigns.actionagainsthunger.org.uk
16198571,16198880,16198880,1.5023084934491215e+18,339815348.0,jackieeyre12,2022-03-11 15:40:31,https://campaigns.actionagainsthunger.org.uk/page/100738/action/1,campaigns.actionagainsthunger.org.uk
16866288,16866607,16866607,1.5025368646535168e+18,1.2576132560693125e+18,prattle20,2022-03-12 06:47:58,https://campaigns.actionagainsthunger.org.uk/page/100738/action/1,campaigns.actionagainsthunger.org.uk
17725427,17725769,17725769,1.502825557767037e+18,1396855940.0,SashaCAiresse,2022-03-13 01:55:08,https://campaigns.actionagainsthunger.org.uk/page/100738/action/1,campaigns.actionagainsthunger.org.uk
19335566,19335940,19335940,1.5033865597518152e+18,41089557.0,fatbeehive,2022-03-14 15:04:22,https://www.actionagainsthunger.org.uk/dec-ukraine-humanitarian-appeal,www.actionagainsthunger.org.uk
