,Unnamed: 0,video_id,channel_title,channel_id,date,video_title,video_links,domains
93801,93801,hmnNXWQrByU,k-nemo,UCwPOos8h68UmcVNv1ZG97Pg,2022-03-07 21:32:04,Make a ribbon to support Ukraine #CreatorsWithUkraine,"['https://www.icrc.org/en/donate/ukraine', 'https://www.care.org/', 'https://www.doctorswithoutborders.org/what-we-do/news-stories/news/msf-assesses-response-ukraine-conflict-escalates', 'https://ukraine.ua/news/donate-to-the-nbu-fund/', 'https://www.unicefusa.org/stories/unicef-children-crossfire-ukraine-crisis/39542?utm_content=Ukraine2&ms=cpc_dig_2021_Ukraine2_20210801_google_Ukraine2_delve_None&initialms=cpc_dig_2020_Ukraine2_20210801_google_Ukraine2_delve_None&gclid=CjwKCAiAjoeRBhAJEiwAYY3nDJGpRj9lAnIfwRWrqdAoq5oWZOJjzwvRlzpf2F2Okri9rop-w3MNFhoC4UwQAvD_BwE', 'https://wck.org/', 'https://voices.org.ua/en/', 'https://www.unrefugees.org/what-we-do/', 'https://give.internationalmedicalcorps.org/page/99837/donate/1?ea.tracking.id=DP~UA22~DPHHU2202', 'https://www.globalgiving.org/projects/ukraine-crisis-relief-fund/', 'https://juf.org/Ukraine/?source=Ukraine-Donate-Page', 'https://www.pah.org.pl/', 'https://www.hias.org/', 'https://www.globalgiving.org/projects/support-displaced-ukrainians-in-poland/']","['www.icrc.org', 'www.care.org', 'www.doctorswithoutborders.org', 'ukraine.ua', 'www.unicefusa.org', 'wck.org', 'voices.org.ua', 'www.unrefugees.org', 'give.internationalmedicalcorps.org', 'www.globalgiving.org', 'juf.org', 'www.pah.org.pl', 'www.hias.org', 'www.globalgiving.org']"
93802,93802,hmnNXWQrByU,k-nemo,UCwPOos8h68UmcVNv1ZG97Pg,2022-03-07 21:32:04,Make a ribbon to support Ukraine #CreatorsWithUkraine,"['https://www.icrc.org/en/donate/ukraine', 'https://www.care.org/', 'https://www.doctorswithoutborders.org/what-we-do/news-stories/news/msf-assesses-response-ukraine-conflict-escalates', 'https://ukraine.ua/news/donate-to-the-nbu-fund/', 'https://www.unicefusa.org/stories/unicef-children-crossfire-ukraine-crisis/39542?utm_content=Ukraine2&ms=cpc_dig_2021_Ukraine2_20210801_google_Ukraine2_delve_None&initialms=cpc_dig_2020_Ukraine2_20210801_google_Ukraine2_delve_None&gclid=CjwKCAiAjoeRBhAJEiwAYY3nDJGpRj9lAnIfwRWrqdAoq5oWZOJjzwvRlzpf2F2Okri9rop-w3MNFhoC4UwQAvD_BwE', 'https://wck.org/', 'https://voices.org.ua/en/', 'https://www.unrefugees.org/what-we-do/', 'https://give.internationalmedicalcorps.org/page/99837/donate/1?ea.tracking.id=DP~UA22~DPHHU2202', 'https://www.globalgiving.org/projects/ukraine-crisis-relief-fund/', 'https://juf.org/Ukraine/?source=Ukraine-Donate-Page', 'https://www.pah.org.pl/', 'https://www.hias.org/', 'https://www.globalgiving.org/projects/support-displaced-ukrainians-in-poland/']","['www.icrc.org', 'www.care.org', 'www.doctorswithoutborders.org', 'ukraine.ua', 'www.unicefusa.org', 'wck.org', 'voices.org.ua', 'www.unrefugees.org', 'give.internationalmedicalcorps.org', 'www.globalgiving.org', 'juf.org', 'www.pah.org.pl', 'www.hias.org', 'www.globalgiving.org']"
229984,229984,oWYrQq4w_b0,Three Blind Men and An Elephant Productions,UCZb8uqR_73t8DlfpVfVbiEw,2022-04-09 13:18:32,More than a Photographer in Ukraine (Conversation with Jens Krauer),"['https://hias.org', 'https://unitedhelpukraine.org', 'https://www.directrelief.org', 'https://www.mercycorps.org', 'https://savethechildren.org', 'https://www.rescue.org/', 'https://voices.org.ua/en/', 'https://www.patrreon.com/hughbrownstone']","['hias.org', 'unitedhelpukraine.org', 'www.directrelief.org', 'www.mercycorps.org', 'savethechildren.org', 'www.rescue.org', 'voices.org.ua', 'www.patrreon.com']"
229985,229985,oWYrQq4w_b0,Three Blind Men and An Elephant Productions,UCZb8uqR_73t8DlfpVfVbiEw,2022-04-09 13:18:32,More than a Photographer in Ukraine (Conversation with Jens Krauer),"['https://hias.org', 'https://unitedhelpukraine.org', 'https://www.directrelief.org', 'https://www.mercycorps.org', 'https://savethechildren.org', 'https://www.rescue.org/', 'https://voices.org.ua/en/', 'https://www.patrreon.com/hughbrownstone']","['hias.org', 'unitedhelpukraine.org', 'www.directrelief.org', 'www.mercycorps.org', 'savethechildren.org', 'www.rescue.org', 'voices.org.ua', 'www.patrreon.com']"
242531,242531,GpDBhb32c54,RAZOM,UCG4AX6XaDpfA_5jTLu3eK-w,2022-04-14 01:20:02,US immigration policy for Ukrainian Nationals - 13 April 2022,"['https://youtu.be/GpDBhb32c54?t=116', 'https://youtu.be/GpDBhb32c54?t=636', 'https://youtu.be/GpDBhb32c54?t=1163', 'https://youtu.be/GpDBhb32c54?t=2071', 'https://youtu.be/GpDBhb32c54?t=3315', 'https://youtu.be/GpDBhb32c54?t=4491', 'https://youtu.be/GpDBhb32c54?t=5800', 'https://www.facebook.com/EmbajadaUcraniaMexico/', 'https://www.facebook.com/UKRinSanFrancisco/', 'https://docs.google.com/document/d/1V21SzBjm2yGw7PF0-bYssOnABvys7kOayYgWu-eMfh8/edit?usp=sharing', 'https://www.hias.org/lautenberg-amendment,', 'https://www.rescue.org/announcement/lautenberg-program-former-soviet-union']","['youtu.be', 'youtu.be', 'youtu.be', 'youtu.be', 'youtu.be', 'youtu.be', 'youtu.be', 'www.facebook.com', 'www.facebook.com', 'docs.google.com', 'www.hias.org', 'www.rescue.org']"
270871,270871,PaWA1zxOp1o,HIAS,UCOw47OHQiTGz6bOY3mP58OQ,2022-04-25 21:07:18,Update: Ukrainian Arrivals to the United States,['https://www.hias.org/hias-responds-crisis-ukraine'],['www.hias.org']
275907,275907,UB8TohsgGls,The Nonprofit Podcast,UCr1asPUfi_xaW7ZnL-_VFLg,2022-04-28 23:02:39,Pre Planning For War The Nonprofit Podcast | Ukraine Nonprofits Under Fire -Catholic Relief Services,"['https://www.crs.org/', 'https://joshuahousecares.org/', 'https://www.tikvaodessa.org/', 'https://www.jdc.org/', 'https://afyafoundation.org/', 'https://www.hias.org/', 'http://thenonprofitpodcast.org/']","['www.crs.org', 'joshuahousecares.org', 'www.tikvaodessa.org', 'www.jdc.org', 'afyafoundation.org', 'www.hias.org', 'thenonprofitpodcast.org']"
