,Unnamed: 0,video_id,channel_title,channel_id,date,video_title,video_links,domains
75649,75649,kuFIvl3z2rg,MeidasTouch,UC9r9HYFxEQOBXSopFS61ZWg,2022-03-04 20:25:54,Ukraine Will Win | #FundUkrainianFreedom,['https://standforukraine.com/'],['standforukraine.com']
75650,75650,kuFIvl3z2rg,MeidasTouch,UC9r9HYFxEQOBXSopFS61ZWg,2022-03-04 20:25:54,Ukraine Will Win | #FundUkrainianFreedom,['https://standforukraine.com/'],['standforukraine.com']
117490,117490,Sb2QnW8VUM0,NAETE,UC6bzukL_eD5wFm7rO10PF_w,2022-03-12 03:19:18,The Beauty of Ukrainian Folk Music,['https://standforukraine.com'],['standforukraine.com']
120218,120218,_mKKV6fY2aw,Casual Historian,UCGwO43-vnmkQ2i1v886JjVw,2022-03-12 17:04:35,How Putin is Rebuilding the Russian Empire | Casual Historian,"['https://standforukraine.com/', 'https://www.foreignaffairs.com/articles/ukraine/2022-01-27/putin-doctrine', 'https://www.foreignaffairs.com/articles/syria/2015-11-24/proxy-wars', 'http://en.kremlin.ru/events/president/news/66181', 'https://www.foreignaffairs.com/articles/russia-fsu/1997-03-01/russias-illusory-ambitions', 'https://www.foreignaffairs.com/articles/kazakhstan/1992-06-01/central-asias-catapult-independence', 'https://www.foreignaffairs.com/articles/russia-fsu/2003-03-01/america-discovers-central-asia', 'https://archive.org/details/DTIC_ADA519543', 'https://www.foreignaffairs.com/articles/russia-fsu/2008-11-01/five-day-war', 'https://archive.org/details/TheGUNSOfAUGUSTNazisNATOAndColorRevolutionsFinal', 'https://www.foreignaffairs.com/articles/russia-fsu/2009-10-11/clarity-caucasus', 'https://www.foreignaffairs.com/articles/russia-fsu/2010-08-20/reimagining-eurasia', 'https://www.foreignaffairs.com/articles/central-asia/2012-08-07/new-great-game-central-asia', 'https://www.foreignaffairs.com/articles/russia-fsu/2013-12-09/debating-saakashvili', 'https://jamestown.org/program/putin-confirms-the-invasion-of-georgia-was-preplanned/', 'https://www.foreignaffairs.com/articles/russia-fsu/2014-03-31/putins-brain', 'https://www.foreignaffairs.com/articles/russia-fsu/2014-03-31/putins-fairy-tale', 'https://www.foreignaffairs.com/articles/russia-fsu/2014-03-25/putins-western-allies', 'https://www.patreon.com/CasualHistorian', 'https://www.redbubble.com/people/granthurst/shop', 'https://casual-historian.creator-spring.com/', 'https://www.paypal.me/GrantHurst', 'https://www.amazon.com/hz/wishlist/ls/7MKSHMHG14U5?ref_=wl_share', 'https://www.twitch.tv/casualhistorian', 'https://www.facebook.com/casualhistorian', 'https://twitter.com/GrantGHurst', 'https://twitter.com/CasualHistorian', 'http://casualhistorian.com/', 'https://www.historyofthemodernmiddleeast.com/', 'https://www.epidemicsound.com/referral/3bfpu1/']","['standforukraine.com', 'www.foreignaffairs.com', 'www.foreignaffairs.com', 'en.kremlin.ru', 'www.foreignaffairs.com', 'www.foreignaffairs.com', 'www.foreignaffairs.com', 'archive.org', 'www.foreignaffairs.com', 'archive.org', 'www.foreignaffairs.com', 'www.foreignaffairs.com', 'www.foreignaffairs.com', 'www.foreignaffairs.com', 'jamestown.org', 'www.foreignaffairs.com', 'www.foreignaffairs.com', 'www.foreignaffairs.com', 'www.patreon.com', 'www.redbubble.com', 'casual-historian.creator-spring.com', 'www.paypal.me', 'www.amazon.com', 'www.twitch.tv', 'www.facebook.com', 'twitter.com', 'twitter.com', 'casualhistorian.com', 'www.historyofthemodernmiddleeast.com', 'www.epidemicsound.com']"
125916,125916,jWwm6yqA4Gs,"Accents Publishing: Readings, Books, Interviews",UCp3YVNuCl5AMkqU2dgaNDpg,2022-03-14 00:11:49,Accents Authors for Ukraine,"['https://standforukraine.com/', 'https://donate.redcrossredcrescent.org/ua/donate/~my-donation?_cv=1']","['standforukraine.com', 'donate.redcrossredcrescent.org']"
231023,231023,33s0ycpTlBk,StandWithUkraine,UCgLGah3sjjZXWEe3kaZ6BdQ,2022-04-09 23:53:57,"Here's why it's important to make russia accountable for their war crimes. Hamburg, 9 April 2022","['https://standforukraine.com/', 'https://hilfe-ua.de/', 'https://war.ukraine.ua/', 'https://savelife.in.ua/en/donate/', 'https://medium.com/@StandWithUkraine/heres-why-it-s-important-to-make-russia-accountable-for-its-war-crimes-3d25e1a2dfdc']","['standforukraine.com', 'hilfe-ua.de', 'war.ukraine.ua', 'savelife.in.ua', 'medium.com']"
246386,246386,3QPCH0je3DM,Lounge Fm,UCApmy2IHidbWbTOKCSfwcWQ,2022-04-15 09:37:58,"AWERS - Easy Grooves on Lounge Fm #37 (Deep House, Nu-Disco)","['https://www.portmone.com.ua/r3/uk/pay-shop?id=H4sIAAAAAAAAA03LOw6AIAwA0Nuwgzow9AAuegTDp4lN+KWUgdvryPaW5ymlJwxmLGGCcrmOIqCam4hnBK2tOazqb203R+RrZI8MKmIPTE2olj+JMPkhqBebxdviHT65skIGcwAAAA==', 'https://bank.gov.ua/en/about/support-the-armed-forces?fbclid=IwAR1JX1dDGNvGO_GY0BasSB1KBXy9Kp8sfgacMSyG0Gcv1kokBFRcxCLFWUU', 'https://bank.gov.ua/en/news/all/natsionalniy-bank-vidkriv-rahunok-dlya-gumanitarnoyi-dopomogi-ukrayintsyam-postrajdalim-vid-rosiyskoyi-agresiyi', 'https://standforukraine.com/?fbclid=IwAR33o4eCrzwQ32dqMmetFcF3mAfpDWnf9tPWJfuf0IwJz9tFvD4b60vRlfg']","['www.portmone.com.ua', 'bank.gov.ua', 'bank.gov.ua', 'standforukraine.com']"
268916,268916,9u35j7FRl50,StandWithUkraine,UCgLGah3sjjZXWEe3kaZ6BdQ,2022-04-24 14:10:28,5 reasons to support Ukraine in war against russia,"['https://standforukraine.com/', 'https://hilfe-ua.de/', 'https://war.ukraine.ua/', 'https://savelife.in.ua/en/donate/', 'https://medium.com/@StandWithUkraine/5-reasons-to-support-ukraine-in-war-against-russia-f21564d837b']","['standforukraine.com', 'hilfe-ua.de', 'war.ukraine.ua', 'savelife.in.ua', 'medium.com']"
